QCDR Name,Measure ID,Measure Title,Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Number of performance rates to be submitted                                                  ,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS43,Intraocular Pressure Reduction Following Laser Trabeculoplasty,"Percentage of patients who underwent laser trabeculoplasty who had IOP reduced by 20% or more from their pretreatment IOP or had a reduction in overall number of glaucoma medications.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS44,Visual Field Progression in Glaucoma,"Percentage of patients with a diagnosis of glaucoma with a mean deviation loss of 3dB or more from their baseline value.

",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS45,Exudative Age-Related Macular Degeneration: Loss of Visual Acuity,"Percentage of patients with a diagnosis of exudative age-related macular degeneration, being treated with anti-VEGF agents, with a loss of less than 3 Snellen lines (which is equivalent to less than 0.3 logMAR) of visual acuity within the past 12 months. First performance rate used for reporting.

Performance Rate Descriptions:

2 rates calculated, but only 1 submitted, with the other calculated for internal quality improvement",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS46,Evidence of anatomic closure of macular hole within 90 days after surgery as documented by OCT,"Percentage of patients with a macular hole who have evidence of anatomic closure documented by OCT within 90 days after surgical treatment.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS48,Adult Surgical Esotropia: Postoperative alignment,"Percentage of adult esotropia patients receiving surgical treatment with a post treatment alignment of 12 prism diopters (PD) or less.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS49,Surgical Pediatric Esotropia: Postoperative alignment,"Percentage of surgical esotropia pediatric patients with a postoperative alignment of 12 prism diopters (PD) or less without a reoperation.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS5,Surgery for Acquired Involutional Ptosis: Patients with an improvement of marginal reflex distance (MRD),"Percentage of surgical ptosis patients with an improvement of MRD within 90 days postoperatively.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS50,Amblyopia: Interocular visual acuity,"Percentage of newly diagnosed amblyopic patients with one or more of the following:
A. a corrected interocular (or if not reported, the uncorrected) visual acuity difference < 0.23 logMAR 3-12 months after first diagnosis of amblyopia
OR
B. an improvement in the corrected visual acuity of the amblyopic eye of 3 or more Snellen lines (> or = 0.30 logMAR) 3-12 months after first diagnosis of amblyopia
OR
C. a final visual acuity in the amblyopic eye equal to 20/30 or better (less than or equal to 0.18 logMar) 3-12 months after first diagnosis of amblyopia

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS51,Acute Anterior Uveitis: Post-treatment visual acuity,"Percentage of acute anterior uveitis patients with a post-treatment best corrected visual acuity of 20/20 or better or patients whose visual acuity had returned to their baseline value prior to onset of uveitis.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2019
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS52,Post-operative opioid management following ocular surgery,"Percentage of patients aged 18 years and older who underwent ocular surgical procedures who were assessed for opioid use/requirements post-operatively, defined by either not receiving opioids post-operatively, receiving opioids for pain for 7 days or less post-operatively, or if expected to require opioids for more than 7 days after the surgical procedure, having an opioid use management plan documented.

",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS53,Chronic Anterior Uveitis - Post-treatment visual acuity,"Percentage of chronic anterior uveitis patients with a post-treatment best corrected visual acuity of 20/30 or better or patients whose visual acuity had returned to their baseline value prior to onset of uveitis.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS54,Complications After Cataract Surgery,"Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract who had cataract surgery and had the following complications with 90 days after cataract surgery: prolonged inflammation, incision complications, iris complications, retinal detachment, cystoid macular edema, corneal complications, or a return to OR.

",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS55,Visual Acuity Improvement Following Cataract Surgery and Minimally Invasive Glaucoma Surgery,"Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract who had cataract surgery and minimally invasive glaucoma surgery and achieved 20/30 best-corrected distance visual acuity or better OR an improvement in best-corrected distance visual acuity within 4 months following the cataract surgery. Weighted average of performance rates reported.

Performance Rate Descriptions:

Rate 1: includes eyes of patients with mild to moderate stage glaucoma and a 20/30 or better post-operative best-corrected distance visual acuity
Rate 2: includes eyes of patients with severe stage glaucoma or a pre-operative best-corrected visual acuity of 20/200 and a 2 lines or better improvement in the post-operative best-corrected distance visual acuity from preoperative visual acuity
Rate 3: includes eyes of patients with a pre-operative best-corrected visual acuity of 20/400 and a 1 line or better improvement in the post-operative best-corrected distance visual acuity from pre-operative visual acuity",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS56,Adult Diplopia: Improvement of ocular deviation or absence of diplopia or functional improvement,"Percentage of patients with a diagnosis of double vision (diplopia) who had an improvement of ocular deviation as determined by reduction of strabismus in primary gaze to <10 prism diopters horizontal or <2 prism diopters vertical deviation OR were absent of diplopia in primary gaze OR had functional improvement in ptosis within 6 months of initiating treatment.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS57,Idiopathic Intracranial Hypertension: Improvement of mean deviation or stability of mean deviation,"Percentage of patients with improvement in mean deviation or stability of mean deviation (+1db) within 6 months of initiating therapy.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS58,Improved Visual Acuity after Vitrectomy for Complications of Diabetic Retinopathy within 120 Days,"Percentage of patients with a 20% or greater improvement in visual acuity within 120 days following vitrectomy for complications of diabetic retinopathy

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS59,Regaining Vision After Cataract Surgery,"Percentage of eyes of patients aged 18 years and older with a diagnosis of cataract who had cataract surgery and 20/20 best-corrected distance visual acuity or better OR an improvement in best-corrected distance visual acuity within 30 days following the cataract surgery. Weighted average of performance rates reported.

Performance Rate Descriptions:

Rate 1 includes eyes of  patients with no comorbidities or additional procedures on the same date as the cataract surgery,
Rate 2 includes eyes of  patients with comorbidities with a pre-operative visual acuity of 20/200 or better, and
Rate 3 includes eyes of patients with comorbidities with a pre-operative visual acuity of 20/400 or worse",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS6,Acquired Involutional Entropion: Normalized lid position after surgical repair,"Percentage of surgical entropion patients with normalized lid position within 90 days postoperatively.

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2015
American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),IRIS60,Visual Acuity Improvement Following Cataract Surgery Combined with a Trabeculectomy or an Aqueous Shunt Procedure,"Percentage of eyes of patients who underwent cataract surgery combined with a trabeculectomy or an aqueous shunt procedure who had their visual acuity improve 1 or 2 or more Snellen lines from their preoperative visual acuity between 3 and 6 months postoperatively.  Weighted average of performance rates reported.

Performance Rate Descriptions:

Rate 1 includes eyes of patients with a pre-operative visual acuity of better than 20/200 who had an improvement from their preoperative visual acuity of 2 or more lines between 3 and 6 months postoperatively
Rate 2 includes eyes of patients with a pre-operative visual acuity of 20/200 who had an improvement from their preoperative visual acuity of 2 or more lines between 3 and 6 months postoperatively
Rate 3 includes eyes of patients with a pre-operative visual acuity of 20/400 who had an improvement from their preoperative visual acuity of 1 or more lines between 3 and 6 months postoperatively",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),2020
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO12,Tympanostomy Tubes: Topical Ear Drop Monotherapy Acute Otorrhea,"Percentage of patients age 6 months to 12 years of age at the time of the visit with a current diagnosis of an uncomplicated acute tympanostomy tube otorrhea (TTO) who were prescribed or recommended to use topical antibiotic eardrops and NOT prescribed systemic (IV or PO) antibiotics for acute tympanostomy tube otorrhea.

",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO13,Bell's Palsy: Inappropriate Use of Magnetic Resonance Imaging or Computed Tomography Scan (Inverse Measure),"Percentage of patients age 16 years and older with a new onset diagnosis of Bell’s palsy within the past 3 months who had a magnetic resonance imaging (MRI) or a computed tomography scan (CT) of the internal auditory canal, head, neck or brain ordered for the primary diagnosis of Bell’s palsy.

",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO16,Age-related Hearing Loss: Audiometric Evaluation,"Percentage of patients age 60 years and older who failed a hearing screening and/or who report suspected hearing loss who received, were ordered, or were referred for comprehensive audiometric evaluation within 4 weeks the office visit.

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO17,Age-related Hearing Loss: Advanced Diagnostic Imaging of Bilateral Presbycusis or Symmetric SNHL,"Percentage of patients age 60 years and older with a diagnosis of bilateral presbycusis or symmetric sensorineural hearing loss who were NOT ordered magnetic resonance imaging (MRI) or a computed tomography scan (CT scan) of the brain, temporal bone or internal auditory canal for the primary indication of hearing loss.

",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO20,Tympanostomy Tubes: Hearing Test,"Percentage of patients age 6 months through 12 years with a diagnosis of OME who received tympanostomy tube insertion and received a hearing test within 6 months prior to tympanostomy tube insertion

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO21,Otitis Media with Effusion: Hearing Test for Chronic OME > 3 months,"Percentage of patients age 6 months to 12 years of age at the time of the visit with a diagnosis of otitis media with effusion including chronic serous, mucoid, or nonsuppurative otitis media with effusion of ≥3 months duration who had audiometry performed, ordered or who were referred for an audiometric evaluation.

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO23,Allergic Rhinitis: Intranasal Corticosteroids or Oral Antihistamines,"Percentage of patients age 2 years and older with allergic rhinitis who are offered intranasal corticosteroids (INS) or non-sedating oral antihistamines

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO24,Allergic Rhinitis: Avoidance of Leukotriene Inhibitors,"Percentage of patients age 2 years and older patients with allergic rhinitis who do not receive leukotriene inhibitors

",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO29,Quality of Life for Patients with Neurotology Disorders,"Percentage of neurotology patients whose most recent Quality of Life scores were maintained or improved during the measurement period.

",N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO31,Otitis Media with Effusion (OME): Avoidance of Inappropriate Use of Medications,"Percentage of patients age 2 months through 12 years with a diagnosis of otitis media with effusion who were not prescribed or recommended the use of steroids (either oral or intranasal), antimicrobials, antihistamines, or decongestants as therapy.

",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO32,Standard BPPV Management,"Percentage of BPPV patients who received vestibular testing, imaging, and antihistamine or benzodiazepine medications (Inverse Measure).

",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO34,Dysphonia: Postoperative Laryngeal Examination,"Percentage of patients age 18 years and older who were diagnosed with new onset dysphonia within 2 months after a thyroidectomy who received or were referred for a laryngeal examination to examine vocal fold/cord mobility, and, if abnormal vocal fold mobility is identified, receive a plan of care for voice rehabilitation.

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO35,Benign Positional Paroxysmal Vertigo (BPPV): Dix-Hallpike and Canalith Repositioning,"Percentage of patients with BPPV who had a Dix-Hallpike maneuver performed AND who had therapeutic canalith repositioning procedure (CRP) performed or who were referred for physical therapy or to a provider who can perform CRP if identified with posterior canal BPPV

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, Axon Registry",2019
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO36,Tympanostomy Tubes: Resolution of Otitis Media with Effusion in Adults and Children ,"Percentage of patients aged 6 months and older with a diagnosis of otitis media with effusion who are seen 2 to 8 weeks after tympanostomy tube surgery and otitis media with effusion is resolved.


",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2020
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,ASPS16,Airway Assessment for patients undergoing Rhinoplasty,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure for whom the nasal airway was assessed with physical examination via anterior rhinoscopy and/or speculum examination (lighted or not) and status of the septum, turbinates, and valves was documented.

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",2019
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,ASPS17,Patient Satisfaction with Rhinoplasty Procedure,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure who demonstrated improvement* in functional and/or aesthetic satisfaction using a validated patient satisfaction tool (such as SCHNOS, NOSE, SNOT, RHINO) within a year following their procedure.
*pre-test and post-test scores must be documented in the patient record

",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",2019
American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,ASPS18,Shared-decision making for post-operative management of discomfort following Rhinoplasty,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure who had documentation of a pre-operative shared-decision making strategy for multi-modal post-operative management of discomfort.
Definitions: Documentation of discussion of at least two mechanisms of pain management from the following terms or phrases (one term or phrase from each list) will meet the measure:
List 1) Non-opioid analgesics: Non-narcotic/Non-opioid, Acetaminophen/Tylenol, Cox-II inhibitor (Celecoxib), Local/Marcaine/Block, Anxiolytic, Tramadol, NSAID/ibuprofen

List 2) Non-systemic: Ice/Cooling, Elevation, Rest, Mindfulness, Meditation

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",2019
"American College of Physicians Genesis Registry, Powered by Premier, Inc.",ACPGR1,High Risk Pneumococcal Vaccination,"The percentage of patients aged 19 through 64 with a high risk condition, who received OR who reported previous receipt of PCV13, PPSV23, or both PSV13 and PPSV23

",N/A,Community/Population Health,No,Process,No,Yes,No,No,1,N/A,No,"American College of Physicians Genesis Registry, Powered by Premier, Inc.",2017
"American College of Physicians Genesis Registry, Powered by Premier, Inc.",ACPGR2,"Tdap (Tetanus, Diphtheria, Acellular Pertussis) Vaccination","Percentage of patients aged 19 or older who received a primary vaccine series of tetanus/diphtheria/acellular pertussis (tdap) vaccine OR who reported previous receipt of Tdap booster vaccination.

",N/A,Community/Population Health,No,Process,No,Yes,No,No,1,N/A,No,"American College of Physicians Genesis Registry, Powered by Premier, Inc.",2017
American College of Radiology National Radiology Data Registry,ACRAD15,Report Turnaround Time: Radiography,"Mean radiography report turnaround time (RTAT). (Does not include mammography.)

",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD16,Report Turnaround Time: Ultrasound (Excluding Breast US),"Mean Ultrasound report turnaround time (RTAT)

",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD17,Report Turnaround Time: MRI,"Mean MRI report turnaround time (RTAT)

",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD18,Report Turnaround Time: CT,"Mean CT report turnaround time (RTAT)

",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD19,Report Turnaround Time: PET,"Mean PET report turnaround time (RTAT)

",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD25,Report Turnaround Time: Mammography,"Mean mammography report turnaround time (RTAT).

",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD34,"Multi-strata weighted average for 3 CT Exam Types: Overall Percent of CT exams for which Dose Length Product is at or below the size-specific diagnostic reference level (for CT Abdomen-pelvis with contrast/single phase scan, CT Chest without contrast/single phase scan and CT Head/Brain without contrast/single phase scan)","Weighted average of 3 former QCDR measures, ACRad 31, ACRad 32, Acrad 33.

Performance Rate Descriptions:

This measure will be calculated using the weighted average of three performance rates:

Rate 1: Percent of CT Abdomen-pelvis exams with contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
Rate 2: Percent of CT Chest exams without contrast (single phase scan) for which Dose
Length Product is at or below the size-specific diagnostic reference level
Rate 3: Percent of CT Head/brain exams without contrast (single phase scan) for which Dose
Length Product is at or below the size-specific diagnostic reference level",N/A,Patient Safety,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American College of Radiology National Radiology Data Registry,2019
American College of Radiology National Radiology Data Registry,ACRAD36,Incidental Coronary Artery Calcification Reported on Chest CT,"Percentage of final reports for male patients aged 18 years through 50 and female patients aged 18 through 65 years undergoing noncardiac noncontrast chest CT exams or with and without contrast chest CT exams that note presence or absence of coronary artery calcification or not evaluable

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2020
American College of Radiology National Radiology Data Registry,ACRAD37,Interpretation of CT Pulmonary Angiography (CTPA) for Pulmonary Embolism,"Percentage of final reports for patients aged 18 years and older undergoing CT pulmonary angiography (CTPA) with a finding of PE that specify the branching order level of the most proximal level of embolus (i.e. main, lobar, interlobar, segmental, subsegmental)

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2020
American College of Radiology National Radiology Data Registry,ACRAD38,Use of Low Dose Cranial CT or MRI Examinations for Patients with Ventricular Shunts,"Percentage of patients aged less than 18 years with a ventricular shunt undergoing cranial imaging exams to evaluate for ventricular shunt malfunction undergoing either low dose cranial CT exams or MRI

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2020
American College of Radiology National Radiology Data Registry,ACRAD39,Use of Low Dose CT Studies for Adults with Suspicion of Urolithiasis or Nephrolithiasis,"Percentage of patients aged 18 years and older with a diagnosis of urolithiasis or nephrolithiasis undergoing CT imaging exams of the abdomen or pelvis to evaluate for urologic stones undergoing only low-dose CT exams of the abdomen or pelvis without intravenous contrast

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2020
American College of Radiology National Radiology Data Registry,ACRAD40,Use of Structured Reporting in Prostate MRI,"Percentage of final reports for male patients aged 18 years and older undergoing prostate MRI for prostate cancer screening or surveillance that include reference to a validated scoring system such as Prostate Imaging Reporting and Data System (PI-RADS)

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2020
American College of Radiology National Radiology Data Registry,ACRAD41,Use of Quantitative Criteria for Oncologic FDG PET Imaging,"Percentage of final reports for all patients, regardless of age, undergoing non-CNS oncologic FDG PET studies that include at a minimum:
a. Serum glucose (eg, finger stick at time of injection)
b. Uptake time (interval from injection to initiation of imaging)
c. One reference background (eg, volumetric normal liver or mediastinal blood pool) SUV measurement, along with description of the SUV measurement type (eg, SUVmax) and normalization method (eg, BMI)
d. At least one lesional SUV measurement OR diagnosis of ""no disease-specific abnormal uptake""

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2020
American College of Radiology National Radiology Data Registry,ACRAD42,Surveillance Imaging for Liver Nodules <10mm in Patients at Risk for Hepatocellular Carcinoma (HCC),"Percentage of final ultrasound reports with findings of liver nodules < 10 mm for patients aged 18 years and older with a diagnosis of hepatitis B or cirrhosis undergoing screening and/or surveillance imaging for hepatocellular carcinoma with a specific recommendation for follow-up ultrasound imaging in 3-6 months based on radiological findings

",N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,N/A,No,American College of Radiology National Radiology Data Registry,2020
American Urological Association Quality (AQUA) Registry,AQUA14,Stones: Repeat Shock Wave Lithotripsy (SWL) within 6 months of treatment,"Percentage of patients who underwent endoscopic procedures following SWL

",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA15,Stones: Urinalysis documented 30 days before surgical stone procedures,"Percentage of patients with a documented urinalysis 30 days before surgical stone procedures

",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,N/A,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA16,Non-Muscle Invasive Bladder Cancer: Repeat Transurethral Resection of Bladder Tumor (TURBT) for T1 disease,"Percentage of patients with T1 disease, that had a second TURBT within 6 weeks of the initial TURBT

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA17,Non-Muscle Invasive Bladder Cancer: Initiation of BCG within 3 months of diagnosis of high-grade T1 bladder cancer and/or CIS,"Percentage of patients who initiate BCG treatment within 3 months of diagnosis of high-grade T1 bladder cancer and/or CIS

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA18,Non-Muscle Invasive Bladder Cancer: Early surveillance cystoscopy within 4 months of initial diagnosis,"Percentage of patients who receive surveillance cystoscopy within 4 months of TURBT for bladder cancer

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,American Urological Association Quality (AQUA) Registry,2017
