title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,generalPracticeFamilyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,generalOncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isToppedOutByProgram
Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N/A,N/A,N/A,147,"Percentage of final reports for all patients, regardless of age, undergoing bone scintigraphy that include physician documentation of correlation with existing relevant imaging studies (e.g., x-ray, MRI, CT, etc.) that were performed",Communication and Care Coordination,Process,Society of Nuclear Medicine and Molecular Imaging,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_147_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_147_Claims.pdf,,,FALSE,FALSE
Falls: Risk Assessment,N/A,N/A,101,154,Percentage of patients aged 65 years and older with a history of falls that had a risk assessment for falls completed within 12 months,Patient Safety,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,X,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_154_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_154_Claims.pdf,,,FALSE,FALSE
Falls: Plan of Care,N/A,N/A,101,155,Percentage of patients aged 65 years and older with a history of falls that had a plan of care for falls documented within 12 months,Communication and Care Coordination,Process,National Committee for Quality Assurance,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,X,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_155_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_155_Claims.pdf,,,FALSE,FALSE
Oncology: Radiation Dose Limits to Normal Tissues,N/A,N/A,382,156,"Percentage of patients, regardless of age, with a diagnosis of breast, rectal, pancreatic or lung cancer receiving 3D conformal radiation therapy who had documentation in medical record that radiation dose limits to normal tissues were established prior to the initiation of a course of 3D conformal radiation for a minimum of two tissues",Patient Safety,Process,American Society for Radiation Oncology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_156_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_156_Claims.pdf,,,FALSE,FALSE
HIV/AIDS: Pneumocystis Jiroveci Pneumonia (PCP) Prophylaxis,CMS52v6,N/A,405,160,Percentage of patients aged 6 weeks and older with a diagnosis of HIV/AIDS who were prescribed Pneumocystis Jiroveci Pneumonia (PCP) prophylaxis,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,NULL,,FALSE,FALSE,NULL,NULL,3,weightedAverage,,,,,https://ecqi.healthit.gov/ecqm/ep/2018/cms052v6,FALSE,FALSE
Diabetes: Foot Exam,CMS123v6,N/A,56,163,The percentage of patients 18-75 years of age with diabetes (type 1 and type 2) who received a foot exam (visual inspection and sensory exam with mono filament and a pulse exam) during the measurement year,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,NULL,1,,,,,,https://ecqi.healthit.gov/ecqm/measures/cms123v6,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Prolonged Intubation,N/A,N/A,129,164,Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require postoperative intubation > 24 hours,Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_164_Registry.pdf,,,,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Deep Sternal Wound Infection Rate ,N/A,N/A,130,165,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who, within 30 days postoperatively, develop deep sternal wound infection involving muscle, bone, and/or mediastinum requiring operative intervention",Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_165_Registry.pdf,,,,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Stroke,N/A,N/A,131,166,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who have a postoperative stroke (i.e., any confirmed neurological deficit of abrupt onset caused by a disturbance in blood supply to the brain) that did not resolve within 24 hours",Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_166_Registry.pdf,,,,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Postoperative Renal Failure,N/A,N/A,114,167,Percentage of patients aged 18 years and older undergoing isolated CABG surgery (without pre-existing renal failure) who develop postoperative renal failure or require dialysis,Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_167_Registry.pdf,,,,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Surgical Re-Exploration,N/A,N/A,115,168,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require a return to the operating room (OR) during the current hospitalization for mediastinal bleeding with or without tamponade, graft occlusion, valve dysfunction, or other cardiac reason",Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_168_Registry.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Tuberculosis Screening,N/A,N/A,N/A,176,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have documentation of a tuberculosis (TB) screening performed and results interpreted within 6 months prior to receiving a first course of therapy using a biologic disease-modifying anti-rheumatic drug (DMARD),Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_176_Registry.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Periodic Assessment of Disease Activity ,N/A,N/A,N/A,177,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have an assessment and classification of disease activity within 12 months,Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_177_Registry.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Functional Status Assessment ,N/A,N/A,N/A,178,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) for whom a functional status assessment was performed at least once within 12 months,Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_178_Registry.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Assessment and Classification of Disease Prognosis,N/A,N/A,N/A,179,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have an assessment and classification of disease prognosis at least once within 12 months,Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_179_Registry.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Glucocorticoid Management ,N/A,N/A,N/A,180,"Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have been assessed for glucocorticoid use and, for those on prolonged doses of prednisone >= 10 mg daily (or equivalent) with improvement or no change in disease activity, documentation of glucocorticoid management plan within 12 months",Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_180_Registry.pdf,,,,FALSE,FALSE
Elder Maltreatment Screen and Follow-Up Plan,N/A,N/A,N/A,181,Percentage of patients aged 65 years and older with a documented elder maltreatment screen using an Elder Maltreatment Screening Tool on the date of encounter AND a documented follow-up plan on the date of the positive screen,Patient Safety,Process,Centers for Medicare & Medicaid Services,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_181_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_181_Claims.pdf,,,FALSE,FALSE
Functional Outcome Assessment,N/A,N/A,2624,182,Percentage of visits for patients aged 18 years and older with documentation of a current functional outcome assessment using a standardized functional outcome assessment tool on the date of the encounter AND documentation of a care plan based on identified functional outcome deficiencies on the date of the identified deficiencies,Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_182_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_182_Claims.pdf,,,FALSE,FALSE
"Colonoscopy Interval for Patients with a History of Adenomatous Polyps
- Avoidance of Inappropriate Use ",N/A,N/A,659,185,"Percentage of patients aged 18 years and older receiving a surveillance colonoscopy, with a history of a prior adenomatous polyp(s) in previous colonoscopy findings, which had an interval of 3 or more years since their last colonoscopy",Communication and Care Coordination,Process,American Gastroenterological Association,X,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_185_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_185_Claims.pdf,,,FALSE,FALSE
Stroke and Stroke Rehabilitation: Thrombolytic Therapy,N/A,N/A,N/A,187,Percentage of patients aged 18 years and older with a diagnosis of acute ischemic stroke who arrive at the hospital within two hours of time last known well and for whom IV t-PA was initiated within three hours of time last known well,Effective Clinical Care,Process,American Heart Association,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_187_Registry.pdf,,,,FALSE,FALSE
Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery,CMS133v6,N/A,565,191,Percentage of patients aged 18 years and older with a diagnosis of uncomplicated cataract who had cataract surgery and no significant ocular conditions impacting the visual outcome of surgery and had best-corrected visual acuity of 20/40 or better (distance or near) achieved within 90 days following the cataract surgery,Effective Clinical Care,Outcome,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_191_Registry.pdf,,,https://ecqi.healthit.gov/ecqm/measures/cms133v6,FALSE,FALSE
Cataracts: Complications within 30 Days Following Cataract Surgery Requiring Additional Surgical Procedures,CMS132v6,N/A,564,192,"Percentage of patients aged 18 years and older with a diagnosis of uncomplicated cataract who had cataract surgery and had any of a specified list of surgical procedures in the 30 days following cataract surgery which would indicate the occurrence of any of the following major complications: retained nuclear fragments, endophthalmitis, dislocated or wrong power IOL, retinal detachment, or wound dehiscence",Patient Safety,Outcome,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,NULL,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_192_Registry.pdf,,,https://ecqi.healthit.gov/ecqm/measures/cms132v6,FALSE,FALSE
Radiology: Stenosis Measurement in Carotid Imaging Reports ,N/A,N/A,507,195,"Percentage of final reports for carotid imaging studies (neck magnetic resonance angiography [MRA], neck computed tomography angiography [CTA], neck duplex ultrasound, carotid angiogram) performed that include direct or indirect reference to measurements of distal internal carotid diameter as the denominator for stenosis measurement",Effective Clinical Care,Process,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_195_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_195_Claims.pdf,,,FALSE,FALSE
Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antiplatelet,CMS164v6,N/A,68,204,"Percentage of patients 18 years of age and older who were diagnosed with acute myocardial infarction (AMI), coronary artery bypass graft (CABG) or percutaneous coronary interventions (PCI) in the 12 months prior to the measurement period, or who had an active diagnosis of ischemic vascular disease (IVD) during the measurement period, and who had documentation of use of aspirin or another antiplatelet during the measurement period",Effective Clinical Care,Process,National Committee for Quality Assurance,X,-,X,X,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,1,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_204_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_204_Claims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2018_WI_IVD2.pdf,https://ecqi.healthit.gov/ecqm/measures/cms164v6,FALSE,FALSE
"HIV/AIDS: Sexually Transmitted Disease Screening for Chlamydia, Gonorrhea, and Syphilis",N/A,N/A,409,205,"Percentage of patients aged 13 years and older with a diagnosis of HIV/AIDS for whom chlamydia, gonorrhea, and syphilis screenings were performed at least once since the diagnosis of HIV infection",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_205_Registry.pdf,,,,FALSE,FALSE
 Functional Status Change for Patients with Knee Impairments ,N/A,N/A,422,217,"A self-report measure of change in functional status for patients 14 year+ with knee impairments. The change in functional status (FS) assessed using FOTO's (knee ) PROM (patient-reported outcomes measure) is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality",Communication and Care Coordination,Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_217_Registry.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Hip Impairments ,N/A,N/A,423,218,"A self-report measure of change in functional status (FS) for patients 14 years+ with hip impairments. The change in functional status (FS) assessed using FOTO's (hip) PROM (patient- reported outcomes measure) is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality",Communication and Care Coordination,Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_218_Registry.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Foot or Ankle Impairments,N/A,N/A,424,219,"A self-report measure of change in functional status (FS) for patients 14 years+ with foot and ankle impairments. The change in functional status (FS) assessed using FOTO's (foot and ankle) PROM (patient reported outcomes measure) is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality",Communication and Care Coordination,Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_219_Registry.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Lumbar Impairments ,N/A,N/A,425,220,"A self-report outcome measure of change in functional status for patients 14 years+ with lumbar impairments. The change in functional status (FS) assessed using FOTO (lumbar) PROM (patient reported outcome measure) is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level by to assess quality",Communication and Care Coordination,Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_220_Registry.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Shoulder Impairments ,N/A,N/A,426,221,"A self-report outcome measure of change in functional status (FS) for patients 14 years+ with shoulder impairments. The change in functional status (FS) assessed using FOTO's (shoulder) PROM (patient reported outcomes measure) is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality",Communication and Care Coordination,Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_221_Registry.pdf,,,,FALSE,FALSE
"Functional Status Change for Patients with Elbow, Wrist or Hand Impairments",N/A,N/A,427,222,"A self-report outcome measure of functional status (FS) for patients 14 years+ with elbow, wrist or hand impairments. The change in FS assessed using FOTO (elbow, wrist and hand) PROM (patient reported outcomes measure) is adjusted to patient characteristics known to be associated with FS  outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality",Communication and Care Coordination,Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_222_Registry.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Other General Orthopaedic Impairments,N/A,N/A,428,223,"A self-report outcome measure of functional status (FS) for patients 14 years+ with general orthopaedic impairments (neck, cranium, mandible, thoracic spine, ribs or other general orthopaedic impairment). The change in FS assessed using FOTO (general orthopaedic) PROM (patient reported outcomes measure) is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level by to assess quality",Communication and Care Coordination,Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_223_Registry.pdf,,,,FALSE,FALSE
Melanoma: Overutilization of Imaging Studies in Melanoma ,N/A,N/A,562,224,"Percentage of patients, regardless of age, with a current diagnosis of Stage 0 through IIC melanoma or a history of melanoma of any stage, without signs or symptoms suggesting systemic spread, seen for an office visit during the one-year measurement period, for whom no diagnostic imaging studies were ordered",Efficiency and Cost Reduction,Process,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_224_Registry.pdf,,,,TRUE,TRUE
Radiology: Reminder System for Screening Mammograms,N/A,N/A,509,225,Percentage of patients undergoing a screening mammogram whose information is entered into a reminder system with a target due date for the next mammogram ,Communication and Care Coordination,Structure,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_225_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_225_Claims.pdf,,,FALSE,FALSE
Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,CMS138v6,N/A,28,226,"Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within 24 months AND who received tobacco cessation intervention if identified as a tobacco user
",Community/Population Health,Process,Physician Consortium for Performance Improvement,X,-,X,X,-,X,X,-,X,-,X,X,-,X,X,X,X,X,X,-,-,X,X,X,X,X,-,-,X,X,X,X,X,-,-,X,-,X,X,X,-,multiPerformanceRate,2017,NULL,,FALSE,FALSE,2,2,2,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_226_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_226_Claims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2018_WI_PREV10.pdf,https://ecqi.healthit.gov/ecqm/measures/cms138v6,FALSE,FALSE
