Vendor ID,measureId,title,description,NQS Domain ,Numerator,Denominator,Denominator Exclusions ,Denominator Exceptions ,Numerator Exclusions ,Number of performance rates to be  submitted                                                  ,"Indicate an Overall Performance Rate if more than 1 performance rate is to be submitted.                                        Specify which of the submitted rates will represent an overall performance rate for the measure or how an overall performance rate could be calculated based on the data submitted [for example, simple average of the performance rates submitted or weighted average (sum of the numerators divided by the sum of the denominators), etc.]                                                           (REQUIRED)",measureType,High Priority,Outcome,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Is the Measure Risk-Adjusted   ,Primary Steward,nqfId,firstPerformanceYear
8365868,AAO20,Otitis Media with Effusion: Hearing Testing,Percentage of patients aged 2 months through 12 years with a diagnosis of OME who received tympanostomy tube insertion who had a hearing test performed within 6 months prior to tympanostomy tube insertion,Effective Clinical Care,Patients who had a hearing test performed within 6 months prior to tympanostomy tube insertion,All patients aged 2 months through 12 years with a diagnosis of OME w ho received tympanostomy tube insertion,None,"Documentation of medical reason(s) for not performing a hearing test within 6 months prior to tympanostomy tube insertion

Documentation of patient reason(s) for not performing a hearing test within 6 months prior to tympanostomy tube insertion",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO21,Audiometry for Chronic Otitis Media with Effusion in Children,"Percentage of patients age 6 months to 12 years of age at the time of the visit with a diagnosis of otitis media with effusion including chronic serous, mucoid, or nonsuppurative otitis media with effusion of ≥3 months duration who had audiometry performed, ordered or who were referred for an audiometric evaluation.",Communication and Care Coordination,"Patients who had audiometry* performed, ordered or who were referred for an audiometric evaluation.

*Audiometry Definition: Audiometry is defined as hearing testing performed by a certified professional, usually an audiologist, in a sound-proof booth and controlled environment.  This does NOT include screening tests or other crude tests of hearing performed in an open-air environment.  The preferred method of hearing assessment is age-appropriate audiologic testing, through conventional audiometry or comprehensive audiologic assessment. Children aged 4 years or older are suitable for conventional audiometry, in which the child raises his or her hand when a stimulus is heard. This can be done in the primary care setting using a fail criterion of >20 dB HL at 1 or more frequencies (500, 1000, 2000, 4000 Hz) in either ear.
Comprehensive audiologic evaluation by an audiologist is recommended for children aged 6 months to 4 years and for any child who fails conventional audiometry in a primary care setting.   This assessment includes evaluating air-conduction and bone-conduction thresholds for pure tones, speech detection or speech recognition thresholds, and measuring speech understanding if possible.  Visual response audiometry is typically used to assess hearing in children aged 6 months to 2.5 years. It is performed by an audiologist, during which the child learns to associate speech or frequency-specific stimuli with a reinforcer, such as a lighted toy or video clips. Children aged 2.5 to 4 years are assessed using play audiometry, by having the child perform a task (e.g. placing a peg in a pegboard or dropping a block in a box) in response to a stimulus tone. Ear-specific audiologic testing is recommended whenever possible using insert earphones to detect unilateral or asymmetrical hearing loss.
","All patients age 6 months to 12 years of age at the time of the visit with a diagnosis of otitis media with effusion including chronic serous, mucoid, or nonsuppurative otitis media with effusion of ≥3 months duration.",None,"Medical reason for not performing, ordering or referring for an audiometric evaluation (e.g. patient had an audiogram within the past 6 months).
Patient reason for not performing, ordering or referring for an audiometric evaluation (e.g. patient refuses to have an audiometric evaluation).
System reason for not performing, ordering or referring for an audiometric evaluation (e.g. audiometry is not available in the health system; patient cannot pay for audiometry-Medicaid insurance only pays every 6 months)
",None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO22,Percentage of patients with allergic rhinitis who do not receive sinonasal imaging for allergic rhinitis ,"This measure is intended to decrease inappropriate imaging in patients with allergic rhinitis who do not have asthma.
",Efficiency and Cost Reduction,Patients who do not have sinonasal imaging ordered or performed during a visit for allergic rhinitis.,"
Patients with allergic rhinitis seen for an ambulatory visit with a diagnosis of allergic rhinitis.","Patients with rhinosinusitis, nasal polyposis, suspected nasal neoplasm, or other nasal conditions requiring imaging.",None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO23,Percentage of patients with allergic rhinitis who are offered intranasal corticosteroids or oral antihistamines,This measure is intended to decrease variability in management of allergic rhinitis by clinicians and encouraging the use of intranasal steroids or oral antihistamines for treatment of allergic rhinitis as first line treatment.,Effective Clinical Care,Patients who are taking intranasal steroids or oral antihistamines. A prescription for or medication reconciliation of over the counter medications can be used to identify patients taking medications,Patients with allergic rhinitis seen for an ambulatory visit with a diagnosis of allergic rhinitis.,"
Patients with an allergy to oral antihistamines AND intranasal corticosteroids.","Patients with an allergy to oral antihistamines OR intranasal corticosteroids.
Patients with prostate cancer or benign prostatic hypertrophy as these patients may be intolerant of medications.
Patients with a history of epistaxis (due to INS use).",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO24,Percentage of patients with allergic rhinitis who do not receive leukotriene inhibitors,This measure is intended to decrease inappropriate prescription of leukotriene inhibitors to patients with allergic rhinitis who do not have asthma. ,Effective Clinical Care,"
Patients who do not receive leukotriene inhibitors.",Patients with allergic rhinitis seen for an ambulatory visit with a diagnosis of allergic rhinitis who do not have an active order (prescription or reported over the counter use) of intranasal corticosteroids or second generation antihistamines.,"
Patients with asthma.","
Patients with allergy to intranasal corticosteroids, allergy to second generation antihistamines, or prostate issues (due to concern for intolerance of primary therapy options)",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO25,Percentage of patients with allergic rhinitis who do not receive IgG-based immunoglobulin testing,This measure is intended to improve appropriate test selection for patients with allergic rhinitis undergoing evaluations for allergens.  ,Efficiency and Cost Reduction,Patients who do not receive IgG testing for evaluation of allergic rhinitis.,Patients seen for a visit during the measurement period where allergic rhinitis is diagnosed.,None,None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO26,Otitis Media with Effusion: Diagnostic Evaluation - Assessment of Tympanic Membrane Mobility,Percentage of patient visits for those patients aged 2 months through 12 years with a diagnosis of OME with assessment of tympanic membrane mobility with pneumatic otoscopy or tympanometry,Efficiency and Cost Reduction,Patient visits with assessment of tympanic membrane mobility with pneumatic otoscopy or tympanometry,All patients aged 2 months through 12 years with a diagnosis of OME,None,"Documentation of medical reason(s) for not assessing tympanic membrane mobility with pneumatic otoscopy or tympanometry

Documentation of patient reason(s) for not assessing tympanic membrane mobility with pneumatic otoscopy or tympanometry",None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO27,Otitis Media with Effusion: Resolution of Otitis Media with Effusion in Children,Percentage of patients aged 6 months to 12 years with a diagnosis of OME who have resolution of effusion between 2 and 8 weeks after tympanostomy tube insertion,Person and Care-giver-Centered Experiences and Outcomes,All patients aged 6 months to 12 years with resolution of effusion,All patients aged 6 months to 12 years with a diagnosis of OME who undergo tympanostomy tube insertion and are seen between 2 and 8 weeks after tympanostomy tube insertion,None,None,None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO28,Otitis Media with Effusion: Resolution of Otitis Media with Effusion in Adults,Percentage of patients >12 years of age with a diagnosis of OME who have resolution of effusion between 2 and 8 weeks after tympanostomy tube insertion,Person and Care-giver-Centered Experiences and Outcomes,All patients >12 years of age with resolution of effusion,All patients >12 years of age with a diagnosis of OME who undergo tympanostomy tube insertion and are seen between 2 and 8 weeks after tympanostomy tube insertion,None,None,None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,N/A,2018
8365868,AAO8,Otitis Media with Effusion: Antihistamines or Decongestants – Avoidance of Inappropriate Use,Percentage of patients aged 2 months through 12 years with a diagnosis of OME who were not prescribed or recommended to receive either antihistamines or decongestants,Effective Clinical Care,Patients who were not prescribed or recommended to receive either antihistamines or decongestants,All patients aged 2 months through 12 years with a diagnosis of OME,None,Documentation of medical reason(s) for prescribing or recommending to receive either antihistamines or decongestants,None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,American Academy of Otolaryngology Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,655,2017
4849508,ABFM1,All Patients Who Die an Expected Death with an ICD that Has Been Deactivated,Percentage of adult 18 and older patients in any care setting who die an expected death from cancer or other terminal illness and who have an implantable cardioverter-defibrillator (ICD) in place at the time of death that was deactivated prior to death or there is documentation why it was not deactivated,Patient Safety,Patients who have their ICDs deactivated prior to death or have documentation of why this was not done,Patients who died an expected death who have an ICD in place,NONE,NONE,NONE,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABFM PRIME,N/A,2018
4849508,ABFM2,Patients Admitted to ICU who Have Care Preferences Documented,Percentage of adult 18 and older patients admitted to ICU who receive palliative care and survive at least 2 days who have their care preferences documented within 2 days OR documentation as to why this was not done.,Person and Care-giver-Centered Experiences and Outcomes,Patients in the denominator who had their care preferences documented within 2 days of ICU palliative care initial visit or have documentation of why this was not done,All adults 18 and older admitted to ICU who receive a palliative care consult who survive at least 2 days after the palliative care consult.,NONE,NONE,NONE,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABFM PRIME,N/A,2018
4849508,ABFM3,Patients Treated with an Opioid Who Are Given a Bowel Regimen,Percentage of adults 18 and older treated with an opioid that are offered/prescribed a bowel regimen during the same visit or documentation of reason for why this was not needed,Communication and Care Coordination,"Patients where a bowel regimen was offered/prescribed, or documentation as to why this was not needed",All adults 18 and older who are prescribed long-acting or regular use of short-acting opioids,NONE,NONE,NONE,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABFM PRIME,N/A,2018
4849508,ABFM4,Palliative Care – Spiritual Assessment,Percentage of adult patients 18 and older and/or their caregiver receiving a palliative care visit with documentation of a discussion of spiritual/religious concerns or documentation that the they did not want to discuss during the first three visits,Person and Care-giver-Centered Experiences and Outcomes,Patients with documentation of spiritual/religious concerns or documentation that the patient/family did not want to discuss by the third palliative care encounter,Adult patients receiving a palliative care visit,NONE,NONE,NONE,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABFM PRIME,N/A,2018
4849508,ABFM5,Palliative Care—Treatment Preferences,The percentage of adult patients 18 and older with documentation of preferences for life-sustaining treatments within the first three visits,Person and Care-giver-Centered Experiences and Outcomes,Patients who have documentation of preferences for life-sustaining treatments within the first three visits ,Adult patients 18 and older receiving an initial palliative care evaluation in all settings.,NONE,NONE,NONE,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABFM PRIME,N/A,2018
4849508,ABFM6,Palliative Care Timely Dyspnea Screening & Treatment,Percentage of palliative care adult patients 18 years and older who were screened for dyspnea during the initial palliative care encounter or documentation that a screening was attempted AND for those with moderate/severe dyspnea or who are uncomfortable due to dyspnea who receive treatment within 1 day of screening.,Communication and Care Coordination,Patients who screened for dyspnea and if positive for dyspnea received treatment within 1 day of screening,Adult patients 18 and older who report moderate/severe or uncomfortable dyspnea during dyspnea screening on any palliative care visit,Patient who cannot self-report,Patient who cannot self-report,NONE,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABFM PRIME,N/A,2018
4849508,ABFM7,Pain Brought Under Control within the first three visits,"Percent of patients 18 and older who report being uncomfortable because of pain at the initial palliative care assessment who report pain was brought to a comfortable level (e.g. “Comfortable? Yes/No”, “mild” or pain score < 4) within the first three visits ",Person and Care-giver-Centered Experiences and Outcomes,"Patients whose pain was brought to a comfortable level (answered “comfortable”, qualitatively “mild” or numerical pain score <4) within the first three visits  ",Patients aged 18 and older receiving palliative care services who communicated and self-reported that they had moderate/severe pain at the initial assessment,Patients who cannot self-report,Patients who cannot self-report,NONE,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,ABFM PRIME,N/A,2018
4849508,ABFM8,Measuring the Value-Functions of Primary Care: Provider Level Continuity Measure,"Bice-Boxerman Continuity of Care Primary Care Physician Measure (BB-COC-PC).

At a patient-level, BB-COC is a measure that considers the dispersion of primary care visits across providers, such that patients with higher scores have most of their primary care visits to the same provider or a small number of providers while those lower scores see a larger number providers.  Formally, an individual BB-COC score is calculated as follows:

BB-COC=(∑_(i=1)^k n_i^2 -N)/(N(N-1))    (1)

where k is the number of providers, n_i is the number of visits to provider i, and N is the total number of visits.  (Note that it is necessary that the patient has at least two visits.)
We will calculate the physician-level continuity measure for all patients as follows:

BB-COC-PC=(∑_1^k 〖((BB-COC)(n_k ))〗)/(N*(n_k))  (2)

Where BB-COC is the individual patient continuity score, n is number of total primary care visits for patient k during the study period, and N is the total number of patients seen by the physicians during the study period.  This approach gives greater weight to patients with more visits.",Communication and Care Coordination,The numerator in equation (2) is the weighted sum of the BB-COC scores of patients (with 2 or more visits) cared for a primary care physician.  Each patients score is weighted by the number of primary care visits to give greater weight to patients with more visits.,"The denominator in equation (2) is the number of patients cared for by a primary care physician, weighted by the number of primary care visits.  The main measure includes ALL patients from the PCP.  We will also develop measures restricted to 1) patients with multiple chronic conditions, and 2) high frequency patients (see below).","For our primary analysis, we will restrict our sample of PCPs to those that have a “stable” practice.  Specifically, we will exclude PCPs with 1) fewer than two years of post-residency practice, 2) physicians who have started a new job in the past two years, and 3) physicians practicing in multiple locations.  In additional analyses, we will examine these excluded physicians, given that we would expect them to have poorer continuity scores.",NONE,NONE,1,N/A,Structure,High Priority,N/A,N,Y,N,N,N,ABFM PRIME,N/A,2018
5551268,ABG1,Intra-operative anesthesia safety,Percentage of patients with no significant anesthesia adverse events in the operating room/procedure room.,Effective Clinical Care,All patients who have a procedure under anesthesia care and do not have an adverse event reported while in the operating room/procedure room with the exception of nausea or vomiting,All patients who have procedures in the operating room/procedure room under anesthesia care.,Labor Epidurals,None,None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG16,Planned use of difficult airway equipment,"For all patients on whom difficult airway equipment is used in the operating room/procedure room during an anesthetic, the rate with which it's use is planned ahead of time for either therapeutic or educational purposes.

The definition of difficult airway equipment for this measure excludes stylets and/or bougies unless they have been modified to include a light source or some other mechanical addition to manipulate their placement.",Effective Clinical Care,"All patients on whom difficult airway equipment is used in the operating room/procedure room for whom use is planned prior to the induction of anesthesia for any reason. The word ""planned"" in this measure means that the equipment was physically present in the operating room/procedure room prior to the induction of anesthesia.",All patients who have procedures in the operating room/procedure room under anesthesia care.,Cases in which Difficult Airway Equipment is not used and ASA PS>4,None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABG QCDR,N/A,2017
9181695,ABG21,Pre-operative OSA assessment,Percentage of patients who undergo a surgical procedure in the operating room/procedure room that have a pre-operative assessment for Obstructive Sleep Apnea (OSA),Patient Safety,All patients who have procedures in the operating room/procedure room under anesthesia care that also have a pre-operative assessment for Obstructive Sleep Apnea (OSA),All patients who have procedures in the operating room/procedure room under anesthesia care.,None,"Patients who have a system, medical or patient reason for not performing a pre-operative assessment for Obstructive Sleep Apnea (OSA)",None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG28,Pre-Operative Screening for GERD,Percentage of patients that undergo an anesthetic in the operating room/procedure room who are questioned about symptoms of Gastroesophageal Reflux Disease during their pre-anesthetic evaluation,Effective Clinical Care,All patients who have procedures in the operating room/procedure room under anesthesia care that are also questioned about symptoms of Gastroesophageal Reflux Disease during their pre-operative assessment ,All patients who have procedures in the operating room/procedure room under anesthesia care.,"Labor Epidurals, ASA PS > 4","Patient, system or medical reason that prevents assessment, or ASA PS=""E""",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG29,Pre-Operative Screening for Glaucoma,Percentage of patients that undergo an anesthetic in the operating room/procedure room who are questioned about a history of Glaucoma or elevated eye pressures during their pre-anesthetic evaluation,Effective Clinical Care,All patients who have procedures in the operating room/procedure room under anesthesia care that are also questioned about symptoms of Glaucoma or elevated eye pressures during their pre-operative assessment ,All patients who have procedures in the operating room/procedure room under anesthesia care.,"Labor Epidurals, ASA PS > 4","Patient, system or medical reason that prevents assessment, or ASA PS=""E""",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG30,Pre-Operative Screening for PONV Risk,Percentage of patients that undergo an anesthetic in the operating room/procedure room who are questioned about Post-operative Nausea and Vomiting risk factors during their pre-anesthetic evaluation,Effective Clinical Care,All patients who have procedures in the operating room/procedure room under anesthesia care that are also questioned about PONV risk factors during their pre-operative assessment ,All patients who have procedures in the operating room/procedure room under anesthesia care.,"Labor Epidurals, ASA PS > 4","Patient, system or medical reason that prevents assessment, or ASA PS=""E""",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG31,Pre-Operative Screening for Excessive Alcohol and Recreational Drug Use,Percentage of patients that undergo an anesthetic in the operating room/procedure room who are questioned about alcohol and recreational drug use during their pre-anesthetic evaluation,Effective Clinical Care,All patients who have procedures in the operating room/procedure room under anesthesia care that are also questioned about alcohol and recreational drug use during their pre-operative assessment ,All patients who have procedures in the operating room/procedure room under anesthesia care.,"Labor Epidurals, ASA PS > 4","Patient, system or medical reason that prevents assessment, or ASA PS=""E""",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG32,Pain Related Quality of Life Interference,Percentage of patients with a diagnosis of chronic pain whose pain related quality of life (QOL) interference is addressed during at least two office visits throughout the calendar year.,Effective Clinical Care,Patients with two or more office visits in the calendar year who receive a plan of care from their provider to improve their QOL ,Patients diagnosed with chronic pain of greater than three months who have at least three office visits with their provider in the calendar year ,"Patients with chronic pain for less than 3 months, and patients with less than three office visits in the calendar year","Patient, system or medical reason that prevents assessment",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG33,Lower Body Functional Impairment (LBI),Percentage of patients with a diagnosis of chronic pain whose functional status was assessed with a tool(s) during at least two office visits throughout the calendar year of treatment and whose pain related functional status stayed the same or improved.    ,Patient Safety,Patients with two or more office visits in the calendar year who report the same or improved lower body functional status,Patients diagnosed with chronic pain of greater than three months and who have at least three office visits with their provider in the calendar year and have reported that they have lower body pain ,"Patients with chronic pain for less than 3 months, and patients with less than three office visits in the calendar year","Patients with known documented noncompliance or have a new pain initiator that compounds the original impairment being managed. Patient, system or medical reason that prevents assessment",None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG34,Mood Assessment Screening and treatment ,Percentage of patients with a diagnosis of chronic pain who were assessed for depression and anxiety with a standardized tool at least twice in the calendar year and who are treated for mood disorders during the calendar year as a result of their elevated assessment scores.           ,Effective Clinical Care,Patients with two or more office visits in the calendar year whose mood assessment scores are the same or improved,Patients diagnosed with chronic pain of greater than three months and who have at least three office visits with their provider in the calendar year and have elevated mood assessment scores,"Patients with chronic pain for less than 3 months, and patients with less than three office visits in the calendar year","Patients with known documented noncompliance or have a new pain initiator that compounds the original impairment being managed. Patient, system or medical reason that prevents assessment",None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG35,Preoperative Assessment of Frailty,"Percentage of patients that undergo an anesthetic in the operating room/procedure room who are assessed for Frailty during their pre-anesthetic evaluation using a 7 point scoring system. The following 7 components each count as 1 point if threshold measurements are exceeded: Charlson Comorbidity Index, Hematocrit,  Katz score of ADL, Up-to-Go test, Mini Cog test, unintended weight loss assessment and falls within 6 months prior to visit. Scores > or equal to 4 are frail, 2-3 are pre-frail, and <2 is normal.",Effective Clinical Care,"Patients who are assessed for Frailty in the pre-operative clinic using the 7 component evaluation outlined in the instructions for this measure.



Instructions:

Each component is scored as ""1"" if  threshold exceeded, otherwise scored as ""0"". Thresholds: Charlson Comorbidity Index >3, Hematocrit <35%, Katz Score of ADL <6, Up-to-Go test >14 sec, Mini Cog test <4, unintended weight loss >9 lbs in last year, falls in last 6 months >0.",All patients who have procedures in the operating room/procedure room under anesthesia care.,"Age <65, ASA PS=""E"", or no pre-operative clinic visit.","Patients who are medically unable to complete the assessment (eg- obtunded), patients with CNS degenerative disease (Parkinson's, Alzheimer's, etc)",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,ABG QCDR,N/A,2018
5551268,ABG36,Corneal Abrasion,"Percentage of patients having an anesthetic in the operating room/procedure room who experience any ocular surface injury requiring evaluation, follow up, or treatment within 24 hours of anesthesia end time.",Communication and Care Coordination,Patients with documented ocular surface injury identified within 24 hours of anesthesia end time,All patients who have procedures in the operating room/procedure room under anesthesia care.,Labor Epidurals,None,None,1,N/A,Outcome,High Priority,Outcome,Y,Y,N,N,N,ABG QCDR,N/A,2018
5551268,ABG7,Immediate Adult Post-Operative Pain Management,The percentage of patients 18 or older admitted to the PACU after an anesthetic with a maximum pain score <7/10 prior to anesthesia end time.,Person and Care-giver-Centered Experiences and Outcomes,The number of lucid patients with a pain score less than 7 prior to anesthesia end time.,All patients age 18 or greater admitted to PACU after a surgical procedure under anesthesia care.,"Labor Epidurals, Age 17 or less and patients not transferred directly to PACU from OR.","Patient not lucid, or unable to communicate pain level",None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,ABG QCDR,N/A,2017
5551268,ABG7 ,Immediate Adult Post-Operative Pain Management,The percentage of patients 18 or older admitted to the PACU after an anesthetic with a maximum pain score <7/10 prior to anesthesia end time.,Person and Care-giver-Centered Experiences and Outcomes,The number of lucid patients with a pain score less than 7 prior to anesthesia end time.,All patients age 18 or greater admitted to PACU after a surgical procedure under anesthesia care.,"Labor Epidurals, Age 17 or less and patients not transferred directly to PACU from OR.","Patient not lucid, or unable to communicate pain level",None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,MEDNAX QCDR,N/A,2017
7958754,ACCPIN3 ,ACCPin3 Heart Failure: Patient Self Care Education,"Patients, age 18 and older, with a principle diagnosis of heart failure (LVEF <40) who received educational counseling on weight monitoring, sodium restriction, physical activity and medication instruction. ",Communication and Care Coordination ,"Heart failure patients who received educational counseling on weight monitoring, sodium restriction, physical activity and medication instruction.",All patient with a principle diagnosis of heart failure with an LVEF <40,Not Applicable,Documentation of medical reasons for not providing education counseling such as limited life expectancy,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,Pinnacle Registry and Diabetes Collaborative Registry,N/A,2017
9181695,ACEP19,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 18 Years and Older,Percentage of emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who have an indication for a head CT ,Efficiency and Cost Reduction,"Emergency department visits for patients who have an indication for a head CT
",All emergency department visits for patients aged 18 years and older who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider,"Patients with any of the following:
 •Ventricular shunt
• Brain tumor
• Multisystem trauma
• Pregnancy
• Currently taking antiplatelet medications



",None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ACEP's Clinical Emergency Data Registry (CEDR),N/A,2018
9881603,ACEP20,Emergency Department Utilization of CT for Minor Blunt Head Trauma for Patients Aged 2 Through 17 Years,Percentage of emergency department visits for patients aged 2 through 17 years who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider who are classified as low risk according to the PECARN prediction rules for traumatic brain injury,Efficiency and Cost Reduction,Emergency department visits for patients who are classified as low risk according to the Pediatric Emergency Care Applied Research Network (PECARN) prediction rules for traumatic brain injury,All emergency department visits for patients aged 2 through 17 years who presented with a minor blunt head trauma who had a head CT for trauma ordered by an emergency care provider,"Patients with any of the following:
• Ventricular shunt
• Brain tumor
• Coagulopathy
• Thrombocytopenia
",None,None,1,N/A,Process,High Priority,N/A,Y,Y,N,N,N,ACEP's Clinical Emergency Data Registry (CEDR),N/A,2018
9682065,ACEP21,Coagulation Studies in Patients Presenting with Chest Pain with No Coagulopathy or Bleeding,Percentage of emergency department visits for patients aged 18 years and older with an emergency department discharge diagnosis of chest pain during which coagulation studies were ordered by an emergency care provider,Efficiency and Cost Reduction,"Emergency department visits during which coagulation studies (PT, PTT, or INR tests) were ordered by an emergency care provider",All emergency department visits for patients age 18 years and older with an emergency department discharge diagnosis of chest pain,"Patients with any of the following clinical indications for ordering coagulation studies:
• End stage liver disease
• Coagulopathy
• Thrombocytopenia
• Currently taking or newly prescribed anticoagulant medications
• Pregnancy
• Pulmonary or gastrointestinal hemorrhage
• Atrial fibrillation
• Inability to obtain medical history
• Trauma
• Patient who left before treatment completion

",None,None,1,N/A,Process,High Priority,N/A,Y,Y,N,N,N,ACEP's Clinical Emergency Data Registry (CEDR),N/A,2017
5133825,ACEP22,Appropriate Emergency Department Utilization of CT for Pulmonary Embolism,"Percentage of emergency department visits during which patients aged 18 years and older had a CT pulmonary angiogram (CTPA) ordered by an emergency care provider, regardless of discharge disposition, with either moderate
or high pre-test clinical probability for pulmonary embolism OR positive result or elevated D-dimer level",Efficiency and Cost Reduction,"Emergency department visits for patients with either:

1. Moderate or high pre-test clinical probability for pulmonary embolism

OR

2. Positive result or elevated D-dimer level","All emergency department visits during which patients aged 18 years and older had a CT pulmonary angiogram (CTPA) ordered by an emergency care provider, regardless of discharge disposition",Pregnant patients,"Medical reason for ordering a CTPA without moderate or high pre-test clinical probability for pulmonary embolism AND no positive result or elevated D-dimer level (eg, CT ordered for aortic dissection)",None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ACEP's Clinical Emergency Data Registry (CEDR),N/A,2017
5133825,ACEP24,Pregnancy Test for Female Abdominal Pain Patients,Percentage of emergency department visits for female patients aged 14 through 50 years old who present to the ED with a chief complaint of abdominal pain who have had a pregnancy test (urine or serum) ordered,Patient Safety,Emergency department visits for patients who have had a pregnancy test (urine or serum) ordered,All emergency department visits for female patients aged 14 through 50 years old who present to the ED with a chief complaint of abdominal pain,"Patients who have had a hysterectomy
Patients who are currently pregnant
",None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,ACEP's Clinical Emergency Data Registry (CEDR),N/A,2017
5133825,ACEP25,Tobacco Use: Screening and Cessation Intervention for Patients with Asthma and COPD,Percentage of patients aged 18 years and older with a diagnosis of asthma or COPD seen in the ED who were screened for tobacco use  during any ED encounter AND who received tobacco cessation intervention if identified as a tobacco user,Community/Population Health,Patients who were screened for tobacco use during any ED encounter AND who received tobacco cessation intervention if identified as a tobacco user,All patients aged 18 years and older with a diagnosis of asthma or COPD seen in the ED,None,"Documented medical reason(s) for not screening for tobacco use OR for not providing tobacco cessation intervention for patients identified as tobacco users (eg, limited life expectancy, other medical reasons)",None,1,N/A,Process,N/A,N/A,N,Y,N,N,N,ACEP's Clinical Emergency Data Registry (CEDR),N/A,2017
