QCDR Name,Measure ID,Measure Title,Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,"Proportional Measure 
",Continuous Variable Measure  ,Ratio Measure  ,Number of performance rates to be  submitted                                                  ,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year 
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO23,Allergic Rhinitis: Intranasal Corticosteroids or Oral Antihistamines,Percentage of patients with allergic rhinitis who are offered intranasal corticosteroids (INS) or non-sedating oral antihistamines,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO24,Allergic Rhinitis: Avoidance of Leukotriene Inhibitors,Percentage of patients with allergic rhinitis who do not receive leukotriene inhibitors,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO27,Tympanostomy Tubes: Resolution of Otitis Media with Effusion in Children,Percentage of patients aged 6 months to 12 years with a diagnosis of otitis media with effusion who are seen 2 to 8 weeks after tympanostomy tube surgery and otitis media with effusion is resolved.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO28,Tympanostomy Tubes: Resolution of Otitis Media with Effusion in Adults,Percentage of patients >12 years of age with a diagnosis of otitis media with effusion who are seen 2 to 8 weeks after tympanostomy tube surgery and otitis media with effusion is resolved.,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2018
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO29,Quality of Life for Patients with Neurotology Disorders,Percentage of neurotology patients whose most recent Quality of Life scores were maintained or improved during the measurement period.,N/A,Effective Clinical Care,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO30,Early Oral Cancer: Staging and Treatment,"Percentage of patients with a diagnosis of oral cavity cancer seen in the practice setting who have a TNM cancer stage documented in the medical record within one month of the first office visit AND who receive treatment if identified with a primary tumor depth > 4 mm
Rate 1: Patients aged 18 and older diagnosed with early oral cavity cancer.
Rate 2: Patients 18 years or older diagnosed with clinical node negative (clinical state T1N0M0 or T2N0M0) oral cavity cancer with the depth of the primary tumor > 4mm documented in the medical record within one month of the first office visit",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,2,Weighted Average,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO31,Otitis Media with Effusion (OME): Avoidance of Inappropriate Use of Medications,"Percentage of patients age 2 months through 12 years with a diagnosis of otitis media with effusion who were not prescribed or recommended the use of steroids (either oral or intranasal), antimicrobials, antihistamines, or decongestants as therapy.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO32,Standard BPPV Management,"Percentage of BPPV patients who received vestibular testing, imaging, and antihistamine or benzodiazepine medications (Inverse Measure).",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO33,Age-related Hearing Loss: Shared Decision Making,Patients age 60 years and older with a diagnosis of bilateral presbycusis or symmetric sensorineural hearing loss or their caregiver(s) who report shared decision making with a healthcare provider regarding treatment options for their hearing loss using a standardized tool and a subsequent plan of care.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Engagement/Experience,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO34,Dysphonia: Postoperative Laryngeal Examination,"Percentage of patients age 18 years and older who were diagnosed with new onset dysphonia within 2 months after a thyroidectomy who received or were referred for a laryngeal examination to examine vocal fold/cord mobility, and, if abnormal vocal fold mobility is identified, receive a plan of care for voice rehabilitation.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,AAO35,Benign Positional Paroxysmal Vertigo (BPPV): Dix-Hallpike and Canalith Repositioning,Percentage of patients with BPPV who had a Dix-Hallpike maneuver performed AND who had therapeutic canalith repositioning procedure (CRP) performed or who were referred for physical therapy or to a provider who can perform CRP if identified with posterior canal BPPV,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,"American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, Axon Registry",2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,ASPS16,Airway Assessment for patients undergoing Rhinoplasty,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure for whom the nasal airway was assessed with physical examination via anterior rhinoscopy and documentation of status of the septum, turbinates, and valves.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,"ASPS TOPS-QCDR, American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry",2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,ASPS17,Patient Satisfaction with Rhinoplasty Procedure,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure who demonstrated improvement* in functional and/or aesthetic satisfaction using a validated patient satisfaction tool (such as SCHNOS, NOSE, SNOT, RHINO) within a year following their procedure.  
*pre-test and post-test scores must be documented in the patient record",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,"ASPS TOPS-QCDR, American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry",2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,ASPS18,Shared-decision making for post-operative management of discomfort following Rhinoplasty,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure who had documentation of a pre-operative shared-decision making strategy for multi-modal post-operative management of discomfort.
Definitions: Documentation of discussion of at least two mechanisms of pain management from the following terms or phrases (one term or phrase from each list) will meet the measure:
Non-opioid analgesics: Non-narcotic/Non-opioid, Acetaminophen/Tylenol, Cox-II inhibitor (Celecoxib), Local/Marcaine/Block, Anxiolytic, Tramadol, NSAID/ibuprofen

Non-systemic: Ice/Cooling, Elevation, Rest, Mindfulness, Meditation",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,"ASPS TOPS-QCDR, American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry",2019
American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,ASPS19,Pre-surgical discussion of motivations and outcomes for patients undergoing Rhinoplasty,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure and with whom motivation for surgery and outcome expectations were discussed and for whom the following information was documented:
1. Discussion of motivations and expectations*
2. Surgical goals were realistic and exclusion criteria were reviewed
Definitions: *Documentation of any of words motivation, expectation, realistic, or unrealistic AND one of the following terms or phrases will meet the measure:
Independent /Preference/Desire/Look like/Appearance
Size: Big(ger), small(er)
Shape: Straight, crooked, bent, hook, hump, bump, droop, flare, wide, thin, narrow, bulbous, pug, pointy, projection, rotation, flare, round, long(er), short(er)
Proportion/Balance: Tip, bridge, overly-prominent nostrils/nostril asymmetry, change of appearance with smiling (pulling or widening), general asymmetry
External shaming/Ridicule/Bullying/Advice/Critical/Tease(ing)
Self-esteem/Self-conscious
Facial Harmony/ gender characteristics/ ethnicity
Function: Breathe/Breathing, Repair injury, Snoring, Olfaction, Recurrent infection, Altered sensation, Voice change
Realistic/Unrealistic",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,"ASPS TOPS-QCDR, American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry",2019
American College of Medical Toxicology (ACMT) ToxIC Registry,ACMT1,Screening for risk of opioid misuse/overuse,Percentage of patients aged 12 years or older who were screened for the potential risk of opioid misuse/overuse,N/A,Community/Population Health,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American College of Medical Toxicology (ACMT) ToxIC Registry,2018
American College of Medical Toxicology (ACMT) ToxIC Registry,ACMT2,Pregnancy test in women with a suspected toxicologic exposure,"Percentage of women of childbearing age (12-60 years) who are seen by a medical toxicologist in the emergency department or inpatient setting with a suspected toxicologic exposure, who receive a pregnancy test prior to emergency department discharge or within 24 hours of hospital admission.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American College of Medical Toxicology (ACMT) ToxIC Registry,2018
American College of Medical Toxicology (ACMT) ToxIC Registry,ACMT3,EKG assessment in acute overdoses,Percentage of drug overdose patients with EKG QRS and QTC duration assessment within 60 minutes of arrival to the emergency department.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American College of Medical Toxicology (ACMT) ToxIC Registry,2018
American College of Medical Toxicology (ACMT) ToxIC Registry,ACMT4,Appropriate treatment for acetaminophen ingestions,% of patients of any age with an acetaminophen ingestion for which n-acetylcysteine (NAC) was initiated and discontinued appropriately,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American College of Medical Toxicology (ACMT) ToxIC Registry,2018
American College of Medical Toxicology (ACMT) ToxIC Registry,ACMT5,Assessment of suspected ethylene glycol or methanol exposures,Percentage of patients of any age with suspected exposure to ethylene glycol or methanol for whom appropriate laboratory testing was available within 4 hours of hospital presentation.,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American College of Medical Toxicology (ACMT) ToxIC Registry,2018
American College of Medical Toxicology (ACMT) ToxIC Registry,ACMT6,Repeat assessment of salicylate concentrations in overdose patients,Percentage of patients of any age with suspected drug overdose with an initial plasma salicylate concentration >15 mg/dL who had a second plasma salicylate concentration sample collected within 4 hours following the time the initial sample was obtained,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American College of Medical Toxicology (ACMT) ToxIC Registry,2018
"American College of Physicians Genesis Registry, Powered by Premier, Inc.",ACPGR1,High Risk Pneumococcal Vaccination,"The percentage of patients aged 19 through 64 with a high risk condition, who either received a pneumococcal vaccination OR who reported previous receipt of a pneumococcal vaccination.",N/A,Community/Population Health,No,Process,No,Yes,No,No,1,1st Performance Rate,No,"American College of Physicians Genesis Registry, Powered by Premier, Inc.",2017
"American College of Physicians Genesis Registry, Powered by Premier, Inc.",ACPGR2,"Tdap (Tetanus, Diphtheria, Acellular Pertussis) Vaccination",Percentage of patients aged 19 or older who received a primary vaccine series of tetanus/diphtheria/acellular pertussis (tdap) vaccine OR who reported previous receipt of Tdap booster vaccination.,N/A,Community/Population Health,No,Process,No,Yes,No,No,1,1st Performance Rate,No,"American College of Physicians Genesis Registry, Powered by Premier, Inc.",2017
American College of Radiology National Radiology Data Registry,ACRAD1,CT Colonography True Positive Rate,Percentage of exams with a >=10mm polyp detected by CTC that was with confirmed by colonoscopy (True Positive Rate),N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD15,Report Turnaround Time: Radiography,"Mean radiography report turnaround time (RTAT). (Does not include mammography.)
This measure has been harmonized with MSN QCDR.",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD16,Report Turnaround Time: Ultrasound (Excluding Breast US),"Mean Ultrasound report turnaround time (RTAT)
This measure has been harmonized with MSN QCDR.",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD17,Report Turnaround Time: MRI,"Mean MRI report turnaround time (RTAT)
This measure has been harmonized with MSN QCDR.",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD18,Report Turnaround Time: CT,"Mean CT report turnaround time (RTAT)
This measure has been harmonized with MSN QCDR.",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD19,Report Turnaround Time: PET,"Mean PET report turnaround time (RTAT)
This measure has been harmonized with MSN QCDR.",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD25,Report Turnaround Time: Mammography,"Mean mammography report turnaround time (RTAT).
This measure has been harmonized with MSN QCDR.",N/A,Communication and Care Coordination,Yes,Outcome,Yes,No,Yes,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD26,Appropriate venous access for hemodialysis,Percentage of patients undergoing tunneled (long-term) catheter access for hemodialysis via subclavian access as compared to internal jugular access,N/A,Patient Safety,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD29,Rate of percutaneous nephrostomy tube replacement within 30 days secondary to dislodgement,Percentage of percutaneous nephrostomy tube replacement within 30 days following initial placement.,N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD30,Rate of Inadequate Percutaneous Image-Guided Biopsy,"The percentage of percutaneous image-guided (US, CT, fluoro) biopsy procedures performed in which sampling was inadequate for diagnosis on the final pathology report.",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2017
American College of Radiology National Radiology Data Registry,ACRAD34,"Multi-strata weighted average for 3 CT Exam Types: Overall Percent of CT exams for which Dose Length Product is at or below the size-specific diagnostic reference level (for CT Abdomen-pelvis with contrast/single phase scan, CT Chest without contrast/single phase scan and CT Head/Brain without contrast/single phase scan)","Weighted average of 3 former QCDR measures, ACRad 31, ACRad 32, Acrad 33.
Rate 1: CT Abdomen-pelvis with contrast/single phase scan, Rate 2: CT Chest without contrast/single phase scan and Rate 3: CT Head/Brain without contrast/single phase scan",N/A,Patient Safety,Yes,Outcome,No,Yes,No,No,3,Weighted Average,No,American College of Radiology National Radiology Data Registry,2019
American College of Radiology National Radiology Data Registry,ACRAD35,Screening Mammography Early Cancer Detection Rate,Percentage of cancers detected at screening mammography that were detected when minimal or node negative,N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,American College of Radiology National Radiology Data Registry,2019
American Urological Association Quality (AQUA) Registry,AQUA12,Benign Prostate Hyperplasia: IPSS improvement after diagnosis,Percentage of patients with NEW diagnosis of clinically significant BPH who had IPSS (international prostate symptoms score) or AUASS (American urological association symptom score) improvement by >=20%.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA14,Stones: Repeat Shock Wave Lithotripsy (SWL) within 6 months of treatment,Percentage of patients who underwent  endoscopic procedures following SWL,N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA15,Stones: Urinalysis documented 30 days before surgical stone procedures,Percentage of patients with a documented urinalysis 30 days before surgical stone procedures,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA16,Non-Muscle Invasive Bladder Cancer: Repeat Transurethral Resection of Bladder Tumor (TURBT) for T1 disease,"Percentage of patients with T1 disease, that had a second TURBT within 6 weeks of the initial TURBT",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA17,Non-Muscle Invasive Bladder Cancer: Initiation of BCG within 3 months of diagnosis of high-grade T1 bladder cancer and/or CIS,Percentage of patients who initiate BCG treatment within 3 months of diagnosis of high-grade T1 bladder cancer and/or CIS,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA18,Non-Muscle Invasive Bladder Cancer: Early surveillance cystoscopy within 4 months of initial diagnosis,Percentage of patients who receive surveillance cystoscopy within 4 months of TURBT for bladder cancer,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017
American Urological Association Quality (AQUA) Registry,AQUA19,Diagnosis of Type of Azoospermia and Diagnostic Testing for Obstructive Azoospermia,"Percentage of patients who had minimum necessary concepts discussed as part of diagnosis of azoospermia alone, to determine possibility of obstructive versus non-obstructive azoospermia and underwent diagnostic testing for obstructive azoospermia",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA21,Appropriate Management of Obstructive Azoospermia,Percentage of obstructive azoospermia patients managed appropriately,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA22,Bone imaging and soft tissue imaging within 30 days (before or after) of diagnosis of metastatic CRPC,Percentage of patients who receive bone imaging and soft tissue imaging within 30 days (before or after) of diagnosis of metastatic CRPC,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA23,Blood work for patients receiving abiraterone,Percentage of patients receiving abiraterone who receive monthly blood work and serum transaminases (ALT and AST) and bilirubin levels prior to starting treatment and every two weeks for the first three months of treatment and monthly thereafter,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA24,Testosterone and PSA levels checked for CRPC patients,Percentage of patients on hormonal therapy who have their testosterone and PSA levels checked before starting treatment for CRPC,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA25,Use of Prednisone for CRPC patients on abiraterone,Percentage of patients who are receiving abiraterone who are also receiving prednisone,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA26,Benign Prostate Hyperplasia Care: Benign Prostate Hyperplasia,"Percentage of patients with new diagnosis of BPH who had a creatinine lab order placed or had a CT abdomen, MRI abdomen, ultrasound abdomen ordered or performed.",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA27,Appropriate Testing for Vasectomy Patients,Percentage of patients where a Post Vasectomy Semen Analysis (PVSA) was ordered and confirmed sterility within 6 months of undergoing a vasectomy,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA29,Prostate Cancer: Patient Report of Urinary function after treatment,Percentage of patients who had a reported urinary function score at 12 months after treatment that is within 80% of the reported urinary function score at baseline (before treatment),N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA30,Prostate Cancer: Patient Report of Sexual function after treatment,Percentage of patients who had a reported sexual function score at 24 months after treatment that is within 60% of the reported sexual function score at baseline (before treatment),N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018
American Urological Association Quality (AQUA) Registry,AQUA31,"Prostate Cancer: Documentation of PSA, Gleason score and clinical stage for risk stratification","Percentage of patients newly diagnosed with Prostate Cancer with documentation of PSA, Gleason score and clinical stage in the MD notes before treatment.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2019
American Urological Association Quality (AQUA) Registry,AQUA32,Hypogonadism: Laboratory evaluation conducted within 6 months of starting testosterone replacement,"Percentage of men age 18 years and older with testosterone deficiency who have a serum luteinizing hormone (LH) level, testosterone level, and hematocrit measured within 6 months of the initial testosterone level measurement",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2019
American Urological Association Quality (AQUA) Registry,AQUA33,Intracavernosal Injection Therapy In-Office Test,Percentage of men who are prescribed intracavernosal injection therapy and received in-office testing,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2019
American Urological Association Quality (AQUA) Registry,AQUA34,Genetic Testing  and Patient Counseling of the Azoospermic Male,Percentage of patients with non-obstructive azoospermia due to primary testis failure who were offered genetic testing and patient counseling,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2019
American Urological Association Quality (AQUA) Registry,MUSIC10,Prostate Cancer: Confirmation Testing in low risk AS eligible patients,Percentage of low risk patients that are eligible for active surveillance who receive confirmation testing within 6 months of diagnosis,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2017
American Urological Association Quality (AQUA) Registry,MUSIC11,Prostate Cancer: Follow-Up Testing for patients on active surveillance for at least 30 months,Percentage of patients on active surveillance that have >= 2 tumor burden reassessments and 3 PSA tests in first 30 months since diagnosis,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2017
American Urological Association Quality (AQUA) Registry,MUSIC4,Prostate Cancer: Active Surveillance/Watchful Waiting for Low Risk Prostate Cancer Patients,Proportion of patients with low-risk prostate cancer receiving active surveillance or watchful waiting,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Michigan Urological Surgery Improvement Collaborative (MUSIC) QCDR,2017
American Urological Association Quality (AQUA) Registry,QOPI21,Oncology: Treatment Summary Communication - Radiation Oncology,"Percentage of patients, regardless of age, with a diagnosis of cancer who have undergone brachytherapy or external beam radiation therapy who have a treatment summary report in the chart that was communicated to the physician(s) providing continuing care and to the patient within two weeks of completing treatment",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,QOPI  Reporting Registry (QCDR) Brought to you by ASCO and ASTRO,2018
American Urological Association Quality (AQUA) Registry,QOPI22,External Beam Radiotherapy for Bone Metastases,"Percentage of patients, regardless of age, with a diagnosis of painful bone metastases and no history of previous radiation who receive external beam radiation therapy (EBRT) with an acceptable fractionation scheme as defined by the guideline.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,QOPI  Reporting Registry (QCDR) Brought to you by ASCO and ASTRO,2018
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI18,Coronary Artery Bypass Graft (CABG): Prolonged Intubation - Inverse Measure,Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require postoperative intubation > 24 hours,N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2017
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI48,Patient-Reported Experience with Anesthesia,"Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care and who reported a positive experience. 

This measure will consist of two performance rates:

Rate 1: AQI48a: Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care 
Rate 2: AQI48b: Percentage of patients, aged 18 and older, who completed a survey on their patient experience and satisfaction with anesthesia care who report a positive experience with anesthesia care

NOTE: The measure requires that a valid survey, as defined in the numerator, be sent to patients between discharge from the facility and within 30 days of facility discharge. To report AQI 48b, a minimum number of 20 surveys with the mandatory question completed must be reported.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2017
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI49,Adherence to Blood Conservation Guidelines for Cardiac Operations using Cardiopulmonary Bypass (CPB) - Composite,"Percentage of patients, aged 18 years and older, who undergo a cardiac operation using cardiopulmonary bypass for whom selected blood conservation strategies were used.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2017
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI55,Team-Based Implementation of a Care-and-Communication Bundle for ICU Patients,"Percentage of patients, regardless of age, who are admitted to an intensive care unit (ICU) for >=48 hours and who received critical care services who have documentation by managing physician of 1) attempted or actual identification of a surrogate decision maker, 2) an advance directive, and 3) the patient's preference for cardiopulmonary resuscitation, within 48 hours of ICU admission",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018
