title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
Coronary Artery Bypass Graft (CABG): Stroke,N/A,N/A,131,166,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who have a postoperative stroke (i.e., any confirmed neurological deficit of abrupt onset caused by a disturbance in blood supply to the brain) that did not resolve within 24 hours",Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_166_MIPSCQM.pdf,,,,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Postoperative Renal Failure,N/A,N/A,114,167,Percentage of patients aged 18 years and older undergoing isolated CABG surgery (without pre-existing renal failure) who develop postoperative renal failure or require dialysis,Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_167_MIPSCQM.pdf,,,,FALSE,FALSE
Coronary Artery Bypass Graft (CABG): Surgical Re-Exploration,N/A,N/A,115,168,"Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require a return to the operating room (OR) during the current hospitalization for mediastinal bleeding with or without tamponade, graft occlusion, valve dysfunction, or other cardiac reason",Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_168_MIPSCQM.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Tuberculosis Screening  ,N/A,N/A,N/A,176,Percentage of patients aged 18 years and older with a    diagnosis of rheumatoid arthritis (RA) who havedocumentation of a tuberculosis (TB) screening performed and results interpreted within 12 months prior to receiving a first course of therapy using a  biologic disease-modifying anti-rheumatic drug (DMARD),Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_176_MIPSCQM.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Periodic Assessment of Disease Activity,N/A,N/A,N/A,177,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have an assessment of disease activity at >= 50% of encounters for RA for each patient during the measurement year,Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_177_MIPSCQM.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Functional Status Assessment,N/A,N/A,N/A,178,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) for whom a functional status assessment was performed at least once within 12 months,Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_178_MIPSCQM.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Assessment and Classification of Disease Prognosis,N/A,N/A,N/A,179,Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have an assessment and classification of disease prognosis at least once within 12 months,Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_179_MIPSCQM.pdf,,,,FALSE,FALSE
Rheumatoid Arthritis (RA): Glucocorticoid Management,N/A,N/A,N/A,180,"Percentage of patients aged 18 years and older with a diagnosis of rheumatoid arthritis (RA) who have been assessed for glucocorticoid use and, for those on prolonged doses of prednisone >= 10 mg daily (or equivalent) with improvement or no change in disease activity, documentation of glucocorticoid management plan within 12 months",Effective Clinical Care,Process,American College of Rheumatology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_180_MIPSCQM.pdf,,,,FALSE,FALSE
Elder Maltreatment Screen and Follow-Up Plan,N/A,N/A,N/A,181,Percentage of patients aged 65 years and older with a documented elder maltreatment screen using an Elder Maltreatment Screening tool on the date of encounter AND a documented follow-up plan on the date of the positive screen,Patient Safety,Process,Centers for Medicare & Medicaid Services,X,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_181_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_181_MedicarePartBClaims.pdf,,,FALSE,FALSE
Functional Outcome Assessment,N/A,N/A,2624,182,Percentage of visits for patients aged 18 years and older with documentation of a current functional outcome assessment using a standardized functional outcome assessment tool on the date of the encounter AND documentation of a care plan based on identified functional outcome deficiencies on the date of the identified deficiencies,Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_182_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_182_MedicarePartBClaims.pdf,,,FALSE,FALSE
"Colonoscopy Interval for Patients with a History of Adenomatous Polyps 
- Avoidance of Inappropriate Use ",N/A,N/A,659,185,"Percentage of patients aged 18 years and older receiving a surveillance colonoscopy, with a history of prior adenomatous polyp(s) in previous colonoscopy findings, which had an interval of 3 or more years since their last colonoscopy",Communication and Care Coordination,Process,American Gastroenterological Association,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_185_MIPSCQM.pdf,,,,FALSE,FALSE
Stroke and Stroke Rehabilitation: Thrombolytic Therapy,N/A,N/A,N/A,187,Percentage of patients aged 18 years and older with a diagnosis of acute ischemic stroke who arrive at the hospital within two hours of time last known well and for whom IV t-PA was initiated within three hours of time last known well,Effective Clinical Care,Process,American Heart Association,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_187_MIPSCQM.pdf,,,,FALSE,FALSE
Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery,CMS133v7,N/A,565,191,Percentage of patients aged 18 years and older with a diagnosis of uncomplicated cataract who had cataract surgery and no significant ocular conditions impacting the visual outcome of surgery and had best-corrected visual acuity of 20/40 or better (distance or near) achieved within 90 days following the cataract surgery,Effective Clinical Care,Outcome,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_191_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms133v7,FALSE,FALSE
Cataracts: Complications within 30 Days Following Cataract Surgery Requiring Additional Surgical Procedures,CMS132v7,N/A,564,192,"Percentage of patients aged 18 years and older with a diagnosis of uncomplicated cataract who had cataract surgery and had any of a specified list of surgical procedures in the 30 days following cataract surgery which would indicate the occurrence of any of the following major complications: retained nuclear fragments, endophthalmitis, dislocated or wrong power IOL, retinal detachment, or wound dehiscence",Patient Safety,Outcome,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_192_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms132v7,FALSE,FALSE
Radiology: Stenosis Measurement in Carotid Imaging Reports,N/A,N/A,507,195,"Percentage of final reports for carotid imaging studies (neck magnetic resonance angiography [MRA], neck computed tomography angiography [CTA], neck duplex ultrasound, carotid angiogram) performed that include direct or indirect reference to measurements of distal internal carotid diameter as the denominator for stenosis measurement",Effective Clinical Care,Process,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_195_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_195_MedicarePartBClaims.pdf,,,FALSE,FALSE
"HIV/AIDS: Sexually Transmitted Disease Screening for Chlamydia, Gonorrhea, and Syphilis",N/A,N/A,409,205,"Percentage of patients aged 13 years and older with a diagnosis of HIV/AIDS for whom chlamydia, gonorrhea, and syphilis screenings were performed at least once since the diagnosis of HIV infection",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_205_MIPSCQM.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Knee Impairments,N/A,N/A,422,217,"A patient-reported outcome measure of risk-adjusted change in functional status for patients aged 14 years+ with knee impairments. The change in functional status (FS) is assessed using the Knee FS patient-reported outcome measure (PROM) (©Focus on Therapeutic Outcomes, Inc.). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey)",Communication and Care Coordination,Patient Reported Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_217_MIPSCQM.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Hip Impairments,N/A,N/A,423,218,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with hip impairments. The change in functional status (FS) is assessed using the Hip FS patient-reported outcome measure (PROM) (©Focus on Therapeutic Outcomes, Inc.). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey)",Communication and Care Coordination,Patient Reported Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_218_MIPSCQM.pdf,,,,FALSE,FALSE
"Functional Status Change for Patients with Lower Leg, Foot or Ankle Impairments",N/A,N/A,424,219,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with foot, ankle and lower leg impairments. The change in functional status (FS) assessed using the Foot/Ankle FS patient-reported outcome measure (PROM) (©Focus on Therapeutic Outcomes, Inc.). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey)",Communication and Care Coordination,Patient Reported Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_219_MIPSCQM.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Low Back Impairments,N/A,N/A,425,220,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with low back impairments. The change in functional status (FS) is assessed using the Low Back FS patient-reported outcome measure (PROM) (©Focus on Therapeutic Outcomes, Inc.). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level by to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey)",Communication and Care Coordination,Patient Reported Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_220_MIPSCQM.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with Shoulder Impairments,N/A,N/A,426,221,"A patient-reported outcome measure of risk-adjusted change in functional status for patients 14 years+ with shoulder impairments. The change in functional status (FS) is assessed using the Shoulder FS patient-reported outcome measure (PROM) (©Focus on Therapeutic Outcomes, Inc.).The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey)",Communication and Care Coordination,Patient Reported Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_221_MIPSCQM.pdf,,,,FALSE,FALSE
"Functional Status Change for Patients with Elbow, Wrist or Hand Impairments",N/A,N/A,427,222,"A patient-reported outcome measure of risk-adjusted change in functional status (FS) for patients 14 years+ with elbow, wrist or hand impairments. The change in FS is assessed using the Elbow/Wrist/Hand FS patient-reported outcome measure (PROM) (©Focus on Therapeutic Outcomes, Inc.) The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey)",Communication and Care Coordination,Patient Reported Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_222_MIPSCQM.pdf,,,,FALSE,FALSE
Functional Status Change for Patients with General Orthopedic Impairments,N/A,N/A,428,223,"A patient-reported outcome measure of risk-adjusted change in functional status (FS) for patients aged 14 years+ with general orthopedic impairments (neck, cranium, mandible, thoracic spine, ribs or other general orthopedic impairment). The change in FS is assessed using the General Orthopedic FS PROM (patient reported outcome measure) (©Focus on Therapeutic Outcomes, Inc.). The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient level, at the individual clinician, and at the clinic level to assess quality. The measure is available as a computer adaptive test, for reduced patient burden, or a short form (static survey)",Communication and Care Coordination,Patient Reported Outcome,"Focus on Therapeutic Outcomes, Inc.",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_223_MIPSCQM.pdf,,,,FALSE,FALSE
Radiology: Reminder System for Screening Mammograms,N/A,N/A,509,225,Percentage of patients undergoing a screening mammogram whose information is entered into a reminder system with a target due date for the next mammogram,Communication and Care Coordination,Structure,American College of Radiology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_225_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_225_MedicarePartBClaims.pdf,,,FALSE,FALSE
Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,CMS138v7,N/A,28,226,Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within 24 months AND who received tobacco cessation intervention if identified as a tobacco user,Community/Population Health,Process,Physician Consortium for Performance Improvement,X,-,X,X,-,X,X,-,X,-,X,X,-,X,X,X,X,X,X,-,-,X,X,X,X,X,-,-,X,X,X,X,X,-,-,X,-,-,X,X,-,-,X,-,-,multiPerformanceRate,2017,null,,FALSE,FALSE,,3,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_226_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_226_MedicarePartBClaims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_PREV10_CMSWebInterface_UPDATES.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms138v7,FALSE,FALSE
Controlling High Blood Pressure,CMS165v7,N/A,18,236,Percentage of patients 18 - 85 years of age who had a diagnosis of hypertension and whose blood pressure was adequately controlled (< 140/90 mmHg) during the measurement period,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,X,-,X,X,-,X,-,-,X,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_236_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_236_MedicarePartBClaims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_HTN2_CMSWebInterface.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms165v7,FALSE,FALSE
Use of High-Risk Medications in the Elderly,CMS156v7,N/A,22,238,"Percentage of patients 65 years of age and older who were ordered high-risk medications. Two rates are submitted.
1) Percentage of patients who were ordered at least one high-risk medication
2) Percentage of patients who were ordered at least two of the same high-risk medication",Patient Safety,Process,National Committee for Quality Assurance,-,-,X,-,-,X,X,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,multiPerformanceRate,2017,null,,TRUE,TRUE,,2,,overallStratumOnly,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_238_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms156v7,FALSE,FALSE
Weight Assessment and Counseling for Nutrition and Physical Activity for Children and Adolescents,CMS155v7,N/A,24,239,"Percentage of patients 3-17 years of age who had an outpatient visit with a Primary Care Physician (PCP) or Obstetrician/Gynecologist (OB/GYN) and who had evidence of the following during the measurement period. Three rates are reported.
- Percentage of patients with height, weight, and body mass index (BMI) percentile documentation
- Percentage of patients with counseling for nutrition
- Percentage of patients with counseling for physical activity",Community/Population Health,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,FALSE,FALSE,,3,,simpleAverage,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms155v7,FALSE,FALSE
Childhood Immunization Status,CMS117v7,N/A,38,240,"Percentage of children 2 years of age who had four diphtheria, tetanus and acellular pertussis (DTaP); three polio (IPV), one measles, mumps and rubella (MMR); three H influenza type B (HiB); three hepatitis B (Hep B); one chicken pox (VZV); four pneumococcal conjugate (PCV); one hepatitis A (Hep A); two or three rotavirus (RV); and two influenza (flu) vaccines by their second birthday",Community/Population Health,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms117v7,FALSE,FALSE
 Cardiac Rehabilitation Patient Referral from an Outpatient Setting  ,N/A,N/A,643,243,"Percentage of patients evaluated in an outpatient setting who within the previous 12 months have experienced an acute myocardial infarction (MI), coronary artery bypass graft (CABG) surgery, a percutaneous coronary intervention (PCI), cardiac valve surgery, or cardiac transplantation, or who have chronic stable angina (CSA) and have not already participated in an early outpatient cardiac rehabilitation/secondary prevention (CR) program for the qualifying event/diagnosis who were referred to a CR program",Communication and Care Coordination,Process,American College of Cardiology Foundation,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_243_MIPSCQM.pdf,,,,FALSE,FALSE
Barrett's Esophagus ,N/A,N/A,1854,249,Percentage of esophageal biopsy reports that document the presence of Barrett's mucosa that also include a statement about dysplasia,Effective Clinical Care,Process,College of American Pathologists,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_249_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_249_MedicarePartBClaims.pdf,,,FALSE,FALSE
Radical Prostatectomy Pathology Reporting,N/A,N/A,1853,250,"Percentage of radical prostatectomy pathology reports that include the pT category, the pN category, the Gleason score and a statement about margin status",Effective Clinical Care,Process,College of American Pathologists,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_250_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_250_MedicarePartBClaims.pdf,,,FALSE,FALSE
 Ultrasound Determination of Pregnancy Location for Pregnant Patients with Abdominal Pain,N/A,N/A,N/A,254,Percentage of pregnant female patients aged 14 to 50 who present to the emergency department (ED) with a chief complaint of abdominal pain or vaginal bleeding who receive a trans-abdominal or trans-vaginal ultrasound to determine pregnancy location,Effective Clinical Care,Process,American College of Emergency Physicians,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_254_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_254_MedicarePartBClaims.pdf,,,FALSE,FALSE
