title,description,measureId,subcategoryId,weight,metricType,firstPerformanceYear
Implementation of analytic capabilities to manage total cost of care for practice population,"In order to receive credit for this activity, a MIPS eligible clinician must conduct or build the capacity to conduct analytic activities to manage total cost of care for the practice population. Examples of these activities could include:
1.) Train appropriate staff on interpretation of cost and utilization information;
2.) Use available data regularly to analyze opportunities to reduce cost through improved care. An example of a platform with the necessary analytic capability to do this is the American Society for Gastrointestinal (GI) Endoscopy’s GI Operations Benchmarking Platform.",IA_PSPA_17,Patient Safety and Practice Assessment,Medium,boolean,2017
Measurement and improvement at the practice and panel level,"Measure and improve quality at the practice and panel level, such as the American Board of Orthopaedic Surgery (ABOS) Physician Scorecards that could include one or more of the following:
•	Regularly review measures of quality, utilization, patient satisfaction and other measures; and/or
•	Use relevant data sources to create benchmarks and goals for performance at the practice or panel levels.
MIPS eligible clinicians can apply the measurement and quality improvement to address inequities in quality and outcomes for underserved populations, including racial, ethnic, and/or gender minorities.",IA_PSPA_18,Patient Safety and Practice Assessment,Medium,boolean,2017
"Implementation of formal quality improvement methods, practice changes, or other practice improvement processes","Adopt a formal model for quality improvement and create a culture in which all staff actively participates in improvement activities that could include one or more of the following, such as:
• Participation in multisource feedback; 
• Train all staff in quality improvement methods;
• Integrate practice change/quality improvement into staff duties;
• Engage all staff in identifying and testing practices changes;
• Designate regular team meetings to review data and plan improvement cycles;
• Promote transparency and accelerate improvement by sharing practice level and panel level quality of care, patient experience and utilization data with staff;
• Promote transparency and engage patients and families by sharing practice level quality of care, patient experience and utilization data with patients and families, including activities in which clinicians act upon patient experience data;
• Participation in Bridges to Excellence;
• Participation in American Board of Medical Specialties (ABMS) Multi-Specialty Portfolio Program.",IA_PSPA_19,Patient Safety and Practice Assessment,Medium,boolean,2017
Leadership engagement in regular guidance and demonstrated commitment for implementing practice improvement changes,"Ensure full engagement of clinical and administrative leadership in practice improvement that could include one or more of the following:   

• Make responsibility for guidance of practice change a component of clinical and administrative leadership roles; 
• Allocate time for clinical and administrative leadership for practice improvement efforts, including participation in regular team meetings; and/or
• Incorporate population health, quality and patient experience metrics in regular reviews of practice performance.
",IA_PSPA_20,Patient Safety and Practice Assessment,Medium,boolean,2017
Implementation of fall screening and assessment programs,"Implementation of fall screening and assessment programs to identify patients at risk for falls and address modifiable risk factors (e.g., Clinical decision support/prompts in the electronic health record that help manage the use of medications, such as benzodiazepines, that increase fall risk).",IA_PSPA_21,Patient Safety and Practice Assessment,Medium,boolean,2017
CDC Training on CDC’s Guideline for Prescribing Opioids for Chronic Pain,"Completion of all the modules of the Centers for Disease Control and Prevention (CDC) course “Applying CDC’s Guideline for Prescribing Opioids” that reviews the 2016 “Guideline for Prescribing Opioids for Chronic Pain.” Note: This activity may be selected once every 4 years, to avoid duplicative information given that some of the modules may change on a year by year basis but over 4 years there would be a reasonable expectation for the set of modules to have undergone substantive change, for the improvement activities performance category score.",IA_PSPA_22,Patient Safety and Practice Assessment,High,boolean,2018
Completion of CDC Training on Antibiotic Stewardship,"Completion of all modules of the Centers for Disease Control and Prevention antibiotic stewardship course. Note: This activity may be selected once every 4 years, to avoid duplicative information given that some of the modules may change on a year by year basis but over 4 years there would be a reasonable expectation for the set of modules to have undergone substantive change, for the improvement activities performance category score.",IA_PSPA_23,Patient Safety and Practice Assessment,High,boolean,2018
Cost Display for Laboratory and Radiographic Orders,"Implementation of a cost display for laboratory and radiographic orders, such as costs that can be obtained through the Medicare clinical laboratory fee schedule.",IA_PSPA_25,Patient Safety and Practice Assessment,Medium,boolean,2018
Communication of Unscheduled Visit for Adverse Drug Event and Nature of Event,"A MIPS eligible clinician providing unscheduled care (such as an emergency room, urgent care, or other unplanned encounter) attests that, for greater than 75 percent of case visits that result from a clinically significant adverse drug event, the MIPS eligible clinician provides information, including through the use of health IT to the patient’s primary care clinician regarding both the unscheduled visit and the nature of the adverse drug event within 48 hours. A clinically significant adverse event is defined as a medication-related harm or injury such as side-effects, supratherapeutic effects, allergic reactions, laboratory abnormalities, or medication errors requiring urgent/emergent evaluation, treatment, or hospitalization.",IA_PSPA_26,Patient Safety and Practice Assessment,Medium,boolean,2018
Invasive Procedure or Surgery Anticoagulation Medication Management,"For an anticoagulated patient undergoing a planned invasive procedure for which interruption in anticoagulation is anticipated, including patients taking vitamin K antagonists (warfarin), target specific oral anticoagulants (such as apixaban, dabigatran, and rivaroxaban), and heparins/low molecular weight heparins, documentation, including through the use of electronic tools, that the plan for anticoagulation management in the periprocedural period was discussed with the patient and with the clinician responsible for managing the patient’s anticoagulation. Elements of the plan should include the following: discontinuation, resumption, and, if applicable, bridging, laboratory monitoring, and management of concomitant antithrombotic medications (such as antiplatelets and nonsteroidal anti-inflammatory drugs (NSAIDs)). An invasive or surgical procedure is defined as a procedure in which skin or mucous membranes and connective tissue are incised, or an instrument is introduced through a natural body orifice.",IA_PSPA_27,Patient Safety and Practice Assessment,Medium,boolean,2018
Completion of an Accredited Safety or Quality Improvement Program,"Completion of an accredited performance improvement continuing medical education (CME) program that addresses performance or quality improvement according to the following criteria:
• The activity must address a quality or safety gap that is supported by a needs assessment or problem analysis, or must support the completion of such a needs assessment as part of the activity;
• The activity must have specific, measurable aim(s) for improvement;
• The activity must include interventions intended to result in improvement;
• The activity must include data collection and analysis of performance data to assess the impact of the interventions; and
• The accredited program must define meaningful clinician participation in their activity, describe the mechanism for identifying clinicians who meet the requirements, and provide participant completion information.

An example of an activity that could satisfy this improvement activity is completion of an accredited continuing medical education program related to opioid analgesic risk and evaluation strategy (REMS) to address pain control (that is, acute and chronic pain).",IA_PSPA_28,Patient Safety and Practice Assessment,Medium,boolean,2018
Consulting AUC Using Clinical Decision Support when Ordering Advanced,"Clinicians attest that they are consulting specified applicable AUC through a qualified clinical decision support mechanism for all applicable imaging services furnished in an applicable setting, paid for under an applicable payment system, and ordered on or after January 1, 2018. This activity is for clinicians that are early adopters of the Medicare AUC program (2018 performance year) and for clinicians that begin the Medicare AUC program in future years as specified in our regulation at §414.94. The AUC program is required under section 218 of the Protecting Access to Medicare Act of 2014. Qualified mechanisms will be able to provide a report to the ordering clinician that can be used to assess patterns of image-ordering and improve upon those patterns to ensure that patients are receiving the most appropriate imaging for their individual condition.",IA_PSPA_29,Patient Safety and Practice Assessment,High,boolean,2018
PCI Bleeding Campaign,"Participation in the PCI Bleeding Campaign which is a national quality improvement program that provides infrastructure for a learning network and offers evidence-based resources and tools to reduce avoidable bleeding associated with patients who receive a percutaneous coronary intervention (PCI).

The program uses a patient-centered and team-based approach, leveraging evidence-based best practices to improve care for PCI patients by implementing quality improvement strategies:
• Radial-artery access,
• Bivalirudin, and
• Use of vascular closure devices.
",IA_PSPA_30,Patient Safety and Practice Assessment,High,boolean,2018
Patient Medication Risk Education,"In order to receive credit for this activity, MIPS eligible clinicians must provide both written and verbal education regarding the risks of concurrent opioid and benzodiazepine use for patients who are prescribed both benzodiazepines and opioids. Education must be completed for at least 75% of qualifying patients and occur: (1) at the time of initial co-prescribing and again following greater than 6 months of co- prescribing of benzodiazepines and opioids, or (2) at least once per MIPS performance period for patients taking concurrent opioid and benzodiazepine therapy.",IA_PSPA_31,Patient Safety and Practice Assessment,High,boolean,2019
Use of CDC Guideline for Clinical Decision Support to Prescribe Opioids for Chronic Pain via Clinical Decision Support,"In order to receive credit for this activity, MIPS eligible clinicians must utilize the Centers for Disease Control (CDC) Guideline for Prescribing Opioids for Chronic Pain via clinical decision support (CDS). For CDS to be most effective, it needs to be built directly into the clinician workflow and support decision making on a specific patient at the point of care. Specific examples of how the guideline could be incorporated into a CDS workflow include, but are not limited to: electronic health record (EHR)-based prescribing prompts, order sets that require review of guidelines before prescriptions can be entered, and prompts requiring review of guidelines before a subsequent action can be taken in the record.",IA_PSPA_32,Patient Safety and Practice Assessment,High,boolean,2019
Application of CDC’s Training for Healthcare Providers on Lyme Disease,"Apply the Centers for Disease Control and Prevention’s (CDC) Training for Healthcare Providers on Lyme Disease using clinical decision support (CDS). CDS for Lyme disease should be built directly into the clinician workflow and support decision making for a specific patient at the point of care. Specific examples of how the guideline could be incorporated into a CDS workflow include but are not limited to: electronic health record (EHR) based prescribing prompts, order sets that require review of guidelines before prescriptions can be entered, and prompts requiring review of guidelines before a subsequent action can be taken in the record.",IA_PSPA_33,Patient Safety and Practice Assessment,Medium,boolean,2022
Enhance Engagement of Medicaid and Other Underserved Populations,"To improve responsiveness of care for Medicaid and other underserved patients: use time-to-treat data (i.e., data measuring the time between clinician identifying a need for an appointment and the patient having a scheduled appointment) to identify patterns by which care or engagement with Medicaid patients or other groups of underserved patients has not achieved standard practice guidelines; and with this information, create, implement, and monitor an approach for improvement. This approach may include screening for patient barriers to treatment, especially transportation barriers, and providing resources to improve engagement (e.g., state Medicaid non-emergency medical transportation benefit).
",IA_AHE_1,Achieving Health Equity,High,boolean,2017
Promote Use of Patient-Reported Outcome Tools,"Demonstrate performance of activities for employing patient-reported outcome (PRO) tools and corresponding collection of PRO data such as the use of PHQ-2 or PHQ-9, PROMIS instruments, patient reported Wound-Quality of Life (QoL), patient reported Wound Outcome, and patient reported Nutritional Screening.",IA_AHE_3,Achieving Health Equity,High,boolean,2017
MIPS Eligible Clinician Leadership in Clinical Trials or CBPR,"Lead clinical trials, research alliances, or community-based participatory research (CBPR) that identify tools, research, or processes that focus on minimizing disparities in healthcare access, care quality, affordability, or outcomes. Research could include addressing health-related social needs like food insecurity, housing insecurity, transportation barriers, utility needs, and interpersonal safety.",IA_AHE_5,Achieving Health Equity,Medium,boolean,2018
Provide Education Opportunities for New Clinicians,"MIPS eligible clinicians acting as a preceptor for clinicians-in-training (such as medical residents/fellows, medical students, physician assistants, nurse practitioners, or clinical nurse specialists) and accepting such clinicians for clinical rotations in community practices in small, underserved, or rural areas.",IA_AHE_6,Achieving Health Equity,High,boolean,2018
Comprehensive Eye Exams,"To receive credit for this activity, MIPS eligible clinicians must promote the importance of a comprehensive eye exam, which may be accomplished by any one or more of the following:  
• providing literature, 
• facilitating a conversation about this topic using resources such as the ""Think About Your Eyes"" campaign,  
• referring patients to resources providing no-cost eye exams, such as the American Academy of Ophthalmology’s EyeCare America and the American Optometric Association’s VISION USA, or 
• promoting access to vision rehabilitation services as appropriate for individuals with chronic vision impairment.

This activity is intended for:
?  Non-ophthalmologists / optometrists who refer patients to an ophthalmologist/optometrist;
?  Ophthalmologists/optometrists caring for underserved patients at no cost; or
?  Any clinician providing literature and/or resources on this topic.

This activity must be targeted at underserved and/or high-risk populations that would benefit from engagement regarding their eye health with the aim of improving their access to comprehensive eye exams or vision rehabilitation services.
",IA_AHE_7,Achieving Health Equity,Medium,boolean,2019
Create and Implement an Anti-Racism Plan,"Create and implement an anti-racism plan using the CMS Disparities Impact Statement or other anti-racism planning tools. The plan should include a clinic-wide review of existing tools and policies, such as value statements or clinical practice guidelines, to ensure that they include and are aligned with a commitment to anti-racism and an understanding of race as a political and social construct, not a physiological one. 

The plan should also identify ways in which issues and gaps identified in the review can be addressed and should include target goals and milestones for addressing prioritized issues and gaps. This may also include an assessment and drafting of an organization’s plan to prevent and address racism and/or improve language access and accessibility to ensure services are accessible and understandable for those seeking care. The MIPS eligible clinician or practice can also consider including in their plan ongoing training on anti-racism and/or other processes to support identifying explicit and implicit biases in patient care and addressing historic health inequities experienced by people of color. More information about elements of the CMS Disparities Impact Statement is detailed in the template and action plan document at https://www.cms.gov/About-CMS/Agency-Information/OMH/Downloads/Disparities-Impact-Statement-508-rev102018.pdf. ",IA_AHE_8,Achieving Health Equity,High,boolean,2022
Implement Food Insecurity and Nutrition Risk Identification and Treatment Protocols,"Create or improve, and then implement, protocols for identifying and providing appropriate support to: a) patients with or at risk for food insecurity, and b) patients with or at risk for poor nutritional status. (Poor nutritional status is sometimes referred to as clinical malnutrition or undernutrition and applies to people who are overweight and underweight.) Actions to implement this improvement activity may include, but are not limited to, the following:
•	Use Malnutrition Quality Improvement Initiative (MQii) or other quality improvement resources and standardized screening tools to assess and improve current food insecurity and nutritional screening and care practices.
•	Update and use clinical decision support tools within the MIPS eligible clinician’s electronic medical record to align with the new food insecurity and nutrition risk protocols.
•	Update and apply requirements for staff training on food security and nutrition.
•	Update and provide resources and referral lists, and/or engage with community partners to facilitate referrals for patients who are identified as at risk for food insecurity or poor nutritional status during screening. 

Activities must be focused on patients at greatest risk for food insecurity and/or malnutrition—for example patients with low income who live in areas with limited access to affordable fresh food, or who are isolated or have limited mobility. ",IA_AHE_9,Achieving Health Equity,Medium,boolean,2022
"Participation on Disaster Medical Assistance Team, registered for 6 months.","Participation in Disaster Medical Assistance Teams, or Community Emergency Responder Teams. Activities that simply involve registration are not sufficient.  MIPS eligible clinicians and MIPS eligible clinician groups must be registered for a minimum of 6 months as a volunteer for disaster or emergency response.",IA_ERP_1,Emergency Response And Preparedness,Medium,boolean,2017
Participation in a 60-day or greater effort to support domestic or international humanitarian needs.,Participation in domestic or international humanitarian volunteer work. Activities that simply involve registration are not sufficient.  MIPS eligible clinicians and groups attest to domestic or international humanitarian volunteer work for a period of a continuous 60 days or greater.,IA_ERP_2,Emergency Response And Preparedness,High,boolean,2017
COVID-19 Clinical Data Reporting with or without Clinical Trial,"To receive credit for this improvement activity, a MIPS eligible clinician or group must: (1) participate in a COVID-19 clinical trial utilizing a drug or biological product to treat a patient with a COVID-19 infection and report their findings through a clinical data repository or clinical data registry for the duration of their study; or (2) participate in the care of patients diagnosed with COVID-19 and simultaneously submit relevant clinical data to a clinical data registry for ongoing or future COVID-19 research. Data would be submitted to the extent permitted by applicable privacy and security laws. Examples of COVID-19 clinical trials may be found on the U.S. National Library of Medicine website at https://clinicaltrials.gov/ct2/results?cond=COVID-19. In addition, examples of COVID-19 clinical data registries may be found on the National Institute of Health website at https://search.nih.gov/search?utf8=%E2%9C%93&affiliate=nih&query=COVID19+registries&commit=Search. 
For purposes of this improvement activity, clinical data registries must meet the following requirements: (1) the receiving entity must declare that they are ready to accept data as a clinical registry; and (2) be using the data to improve population health outcomes. Most public health agencies and clinical data registries declare readiness to accept data from clinicians via a public online posting. Clinical data registries should make publically available specific information on what data the registry gathers, technical requirements or specifications for how the registry can receive the data, and how the registry may use, re-use, or disclose individually identifiable data it receives. For purposes of credit toward this improvement activity, any data should be sent to the clinical data registry in a structured format, which the registry is capable of receiving. A MIPS-eligible clinician may submit the data using any standard or format that is supported by the clinician’s health IT systems, including but not limited to, certified functions within those systems. Such methods may include, but are not limited to, a secure upload function on a web portal, or submission via an intermediary, such as a health information exchange. To ensure interoperability and versatility of the data submitted, any electronic data should be submitted to the clinical data registry using appropriate vocabulary standards for the specific data elements, such as those identified in the United States Core Data for Interoperability (USCDI) standard adopted in 45 CFR 170.213.",IA_ERP_3,Emergency Response And Preparedness,High,boolean,2020
Implementation of a Personal Protective Equipment (PPE) Plan,"Implement a plan to acquire, store, maintain, and replenish supplies of personal protective equipment (PPE) for all clinicians or other staff who are in physical proximity to patients.

In accordance with guidance from the Centers for Disease Control and Prevention (CDC) the PPE plan should address:
•	Conventional capacity: PPE controls that should be implemented in general infection prevention and control plans in healthcare settings, including training in proper PPE use.
•	Contingency capacity: actions that may be used temporarily during periods of expected PPE shortages.
•	Crisis capacity: strategies that may need to be considered during periods of known PPE shortages.
The PPE plan should address all of the following types of PPE:
•	Standard precautions (e.g., hand hygiene, prevention of needle-stick or sharps injuries, safe waste management, cleaning and disinfection of the environment)
•	Eye protection
•	Gowns (including coveralls or aprons)
•	Gloves
•	Facemasks
•	Respirators (including N95 respirators)",IA_ERP_4,Emergency Response And Preparedness,Medium,boolean,2022
Implementation of a Laboratory Preparedness Plan,"Develop, implement, update, and maintain a preparedness plan for a laboratory intended to support continued or expanded patient care during COVID-19 or another public health emergency. The plan should address how the laboratory would maintain or expand patient access to health care services to improve beneficiary health outcomes and reduce healthcare disparities. 
For laboratories without a preparedness plan, MIPS eligible clinicians would meet with stakeholders, record minutes, and document a preparedness plan, as needed. The laboratory must then implement the steps identified in the plan and maintain them. 
For laboratories with existing preparedness plans, MIPS eligible clinicians should review, revise, or update the plan as necessary to meet the needs of the current PHE, implement new procedures, and maintain the plan.
Maintenance of the plan in this activity could include additional hazard assessments, drills, training, and/or developing checklists to facilitate execution of the plan. Participation in debriefings to evaluate the effectiveness of plans are additional examples of engagement in this activity.",IA_ERP_5,Emergency Response And Preparedness,Medium,boolean,2022
Diabetes screening ,Diabetes screening for people with schizophrenia or bipolar disease who are using antipsychotic medication.,IA_BMH_1,Behavioral And Mental Health,Medium,boolean,2017
Tobacco use,"Tobacco use: Regular engagement of MIPS eligible clinicians or  groups in integrated prevention and treatment interventions, including tobacco use screening and cessation interventions (refer to NQF #0028) for patients with co-occurring conditions of behavioral or mental health and at risk factors for tobacco dependence.",IA_BMH_2,Behavioral And Mental Health,Medium,boolean,2017
Depression screening,"Depression screening and follow-up plan:  Regular engagement of MIPS eligible clinicians or groups in integrated prevention and treatment interventions, including depression screening and follow-up plan (refer to NQF #0418) for patients with co-occurring conditions of behavioral or mental health conditions.",IA_BMH_4,Behavioral And Mental Health,Medium,boolean,2017
MDD prevention and treatment interventions,"Major depressive disorder: Regular engagement of MIPS eligible clinicians or groups in integrated prevention and treatment interventions, including suicide risk assessment (refer to NQF #0104) for mental health patients with co-occurring conditions of behavioral or mental health conditions. ",IA_BMH_5,Behavioral And Mental Health,Medium,boolean,2017
Implementation of co-location PCP and MH services,Integration facilitation and promotion of the colocation of mental health and substance use disorder services in primary and/or non-primary clinical care settings.,IA_BMH_6,Behavioral And Mental Health,High,boolean,2017
Implementation of Integrated Patient Centered Behavioral Health Model,"Offer integrated behavioral health services to support patients with behavioral health needs who also have conditions such as dementia or other poorly controlled chronic illnesses.  The services could include one or more of the following: 
•  Use evidence-based treatment protocols and treatment to goal where appropriate;
• Use evidence-based screening and case finding strategies to identify individuals at risk and in need of services;
•  Ensure regular communication and coordinated workflows between MIPS eligible clinicians in primary care and behavioral health;
•  Conduct regular case reviews for at-risk or unstable patients and those who are not responding to treatment;
•  Use of a registry or health information technology functionality to support active care management and outreach to patients in treatment;
•  Integrate behavioral health and medical care plans and facilitate integration through co-location of services when feasible; and/or
•  Participate in the National Partnership to Improve Dementia Care Initiative, which promotes a multidimensional approach that includes public reporting, state-based coalitions, research, training, and revised surveyor guidance.   
",IA_BMH_7,Behavioral And Mental Health,High,boolean,2017
Electronic Health Record Enhancements for BH data capture,"Enhancements to an electronic health record to capture additional data on behavioral health (BH) populations and use that data for additional decision-making purposes (e.g., capture of additional BH data results in additional depression screening for at-risk patient not previously identified).",IA_BMH_8,Behavioral And Mental Health,Medium,boolean,2017
Unhealthy Alcohol Use for Patients with Co-occurring Conditions of Mental Health and Substance Abuse and Ambulatory Care Patients,"Individual MIPS eligible clinicians or groups must regularly engage in integrated prevention and treatment interventions, including screening and brief counseling (for example:  NQF #2152) for patients with co-occurring conditions of mental health and substance abuse. MIPS eligible clinicians would attest that 60 percent for the CY 2018 Quality Payment Program performance period, and 75 percent beginning in the 2019 performance period, of their ambulatory care patients are screened for unhealthy alcohol use.",IA_BMH_9,Behavioral And Mental Health,High,boolean,2018
Completion of Collaborative Care Management Training Program,"To receive credit for this activity, MIPS eligible clinicians must complete a collaborative care management training program, such as the American Psychiatric Association (APA) Collaborative Care Model training program available to the public, in order to implement a collaborative care management approach that provides comprehensive training in the integration of behavioral health into the primary care practice.",IA_BMH_10,Behavioral And Mental Health,Medium,boolean,2019
Implementation of a Trauma-Informed Care (TIC) Approach to Clinical Practice,"Create and implement a plan for trauma-informed care (TIC) that recognizes the potential impact of trauma experiences on patients and takes steps to mitigate the effects of adverse events in order to avoid re-traumatizing or triggering past trauma. Actions in this plan may include, but are not limited to, the following:
•	Incorporate trauma-informed training into new employee orientation 
•	Offer annual refreshers and/or trainings for all staff 
•	Recommend and supply TIC materials to third party partners, including care management companies and billing services
•	Identify patients using a screening methodology
•	Flag charts for patients with one or more adverse events that might have caused trauma
•	Use ICD-10 diagnosis codes for adverse events when appropriate

TIC is a strengths-based healthcare delivery approach that emphasizes physical, psychological, and emotional safety for both trauma survivors and their providers. Core components of a TIC approach are: awareness of the prevalence of trauma; understanding of the impact of past trauma on services utilization and engagement; and a commitment and plan to incorporate that understanding into training, policy, procedure, and practice.",IA_BMH_11,Behavioral And Mental Health,Medium,boolean,2022
Promoting Clinician Well-Being,"Develop and implement programs to support clinician well-being and resilience—for example, through relationship-building opportunities, leadership development plans, or creation of a team within a practice to address clinician well-being—using one of the following approaches:
•	Completion of clinician survey on clinician well-being with subsequent implementation of an improvement plan based on the results of the survey.
•	Completion of training regarding clinician well-being with subsequent implementation of a plan for improvement.",IA_BMH_12,Behavioral And Mental Health,High,boolean,2022
Electronic submission of Patient Centered Medical Home accreditation,N/A,IA_PCMH,,,boolean,2017
