title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,measureArea,isHighPriority,appropriateUse,primarySteward,firstPerformanceYear,lastPerformanceYear,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,audiology,cardiology,certifiedNurseMidwife,chiropracticMedicine,clinicalSocialWork,dentistry,dermatology,diagnosticRadiology,electrophysiologyCardiacSpecialist,emergencyMedicine,endocrinology,familyMedicine,gastroenterology,generalSurgery,geriatrics,hospitalists,infectiousDisease,internalMedicine,interventionalRadiology,mentalBehavioralHealth,nephrology,neurology,neurosurgical,nutritionDietician,obstetricsGynecology,oncology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,physicalTherapyOccupationalTherapy,plasticSurgery,podiatry,preventiveMedicine,pulmonology,radiationOncology,rheumatology,skilledNursingFacility,speechLanguagePathology,thoracicSurgery,urgentCare,urology,vascularSurgery,"additionalGuidence
",telehealthModifiers,isInverse,nonCoveredDenominator,numStrataRegistry,overallAlgorithm,perFrateDescriptions,isNonProportional,,,,,,,,,suppressionReason,,,,,,,,removalReason,,,,,,,,,truncationReason,,,,,,,,flatReason,programMIPS,programPCF,programAPP1,requiredPCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parkinson’s Disease: Parkinson’s Disease Medical and Surgical Treatment Options Reviewed ",N/A,N/A,N/A,294,"All patients with a diagnosis of Parkinson’s disease (or caregiver(s), as appropriate) who had the Parkinson’s disease treatment options (e.g., non-pharmacological treatment, pharmacological treatment, or surgical treatment) reviewed at least annually",Communication and Care Coordination,Process,-,X,-,American Academy of Neurology,2017,2018,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataracts: Improvement in Patient’s Visual Function within 90 Days Following Cataract Surgery,N/A,N/A,N/A,303,"Percentage of patients aged 18 years and older who had cataract surgery and had improvement in visual function achieved within 90 days following the cataract surgery, based on completing a pre-operative and post-operative visual function survey.",Person and Caregiver-Centered Experience and Outcomes,Patient-Reported Outcome-Based Performance Measure,Functional Outcomes,X,-,American Academy of Ophthalmology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataracts: Patient Satisfaction within 90 Days Following Cataract Surgery,N/A,N/A,N/A,304,"Percentage of patients aged 18 years and older who had cataract surgery and were satisfied with their care within 90 days following the cataract surgery, based on completion of the Consumer Assessment of Healthcare Providers and Systems Surgical Care Survey.",Person and Caregiver-Centered Experience and Outcomes,Patient Engagement/Experience,Functional Outcomes,X,-,American Academy of Ophthalmology,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,CMS137v10,N/A,N/A,305,"Percentage of patients 13 years of age and older with a new episode of alcohol or other drug abuse or (AOD) dependence who received the following. Two rates are reported.

a. Percentage of patients who initiated treatment including either an intervention or medication for the treatment of AOD abuse or dependence within 14 days of the diagnosis.
b. Percentage of patients who engaged in ongoing treatment including two additional interventions or a medication for the treatment of AOD abuse or dependence within 34 days of the initiation visit. For patients who initiated treatment with a medication, at least one of the two engagement events must be a treatment intervention.
",Effective Clinical Care,Process,Prevention and Treatment of Opioid and Substance Use Disorders,X,-,National Committee for Quality Assurance,2017,Measure is still in program,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The eCQM measure requires the reporting of two performance rates. An overall performance rate needs to be calculated for this measure for benchmarking. A simple average of the performance rates will be determined to calculate the overall performance rate.",-,N,N/A,2,Simple Average,"Rate 1: Percentage of patients who initiated treatment including either an intervention or medication for the treatment of AOD abuse or dependence within 14 days of the diagnosis 
Rate 2: Percentage of patients who engaged in ongoing treatment including two additional interventions or a medication for the treatment of AOD abuse or dependence within 34 days of the initiation visit. For patients who initiated treatment with a medication, at least one of the two engagement events must be a treatment intervention.",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical Cancer Screening,CMS124v10,N/A,N/A,309,"Percentage of women 21-64 years of age who were screened for cervical cancer using either of the following criteria:
*  Women age 21-64 who had cervical cytology performed within the last 3 years
*  Women age 30-64 who had cervical human papillomavirus (HPV) testing performed within the last 5 years",Effective Clinical Care,Process,Preventive Care,-,-,National Committee for Quality Assurance,2017,Measure is still in program,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N/A,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydia Screening for Women,CMS153v10,N/A,N/A,310,Percentage of women 16-24 years of age who were identified as sexually active and who had at least one test for chlamydia during the measurement period.,Community/Population Health,Process,Preventive Care,-,-,National Committee for Quality Assurance,2017,Measure is still in program,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N/A,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of Imaging Studies for Low Back Pain,CMS166v6,N/A,0052,312,"Percentage of patients 18-50 years of age with a diagnosis of low back pain who did not have an imaging study (plain X-ray, MRI, CT scan) within 28 days of the diagnosis.",Efficiency and Cost Reduction,Process,-,X,X,National Committee for Quality Assurance,2017,2018,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,-,-,-,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,CMS22v10,N/A,N/A,317,"Percentage of patient visits for patients aged 18 years and older seen during the measurement period who were screened for high blood pressure AND a recommended follow-up plan is documented, as indicated, if blood pressure is elevated or hypertensive.",Community/Population Health,Process,Preventive Care,-,-,Centers for Medicare & Medicaid Services,2017,Measure is still in program,X,-,X,-,-,X,"X
2017
2018
2019
2020
2021
2022",2017,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,2017,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022","X
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","2017
","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2017
2018
2019
2020
2021
2022","X
2019
2020
2021
2022",-,"2017
2018
2019
2020
2021","X
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","X
2017
2018
2019
2020
2021
2022","N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,Y (2021),N,Y (2021),N,N,Y (2021),2021,2021: The frequency is being changed to every visit.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls: Screening for Future Fall Risk,CMS139v10,N/A,0101,318,Percentage of patients 65 years of age and older who were screened for future fall risk during the measurement period.,Patient Safety,Process,Preventable Healthcare Harm,X,-,National Committee for Quality Assurance,2017,Measure is still in program,-,-,X,X,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,"X
2019
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,"X
2018
2019
2020
2021
2022","X
2020
2021
2022",-,-,-,"X
2020
2021
2022",-,"X
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N/A,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients,N/A,N/A,0658,320,Percentage of patients aged 50 to 75 years of age receiving a screening colonoscopy without biopsy or polypectomy who had a recommended follow-up interval of at least 10 years for repeat colonoscopy documented in their colonoscopy report.,Communication and Care Coordination,Process,Appropriate Use of Healthcare,X,X,American Gastroenterological Association,2017,Measure is still in program,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Denominator eligible CPT codes 44388, 45378 submitted with a modifier 52, 53, 73, and 74 should be excluded from the denominator for claims or excluded by the registry.  If QDCs are submitted on the same claim for multiple measures, exclude only the line item with the modifier.                                              
Modifiers not relevant for G0121, because CPT I modifiers do not apply to G-codes.",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAHPS for MIPs Clinician/Group Survey,N/A,N/A,0005,321,"The Consumer Assessment of Healthcare Providers and Systems (CAHPS) for MIPS Clinician/Group Survey is comprised of 10 Summary Survey Measures (SSMs) and measures patient experience of care within a group practice. The NQF endorsement status and endorsement id (if applicable) for each SSM utilized in this measure are as follows:                                                                                                                                                                                                                                                                                         
• Getting Timely Care, Appointments, and Information; (Not endorsed by NQF)
• How well Providers Communicate; (Not endorsed by NQF)
• Patient’s Rating of Provider; (NQF endorsed # 0005)
• Access to Specialists; (Not endorsed by NQF)
• Health Promotion and Education; (Not endorsed by NQF)
• Shared Decision-Making; (Not endorsed by NQF) 
• Health Status and Functional Status; (Not endorsed by NQF)
• Courteous and Helpful Office Staff; (NQF endorsed # 0005)
• Care Coordination; (Not endorsed by NQF)
• Stewardship of Patient Resources. (Not endorsed by NQF)",Person and Caregiver-Centered Experience and Outcomes,Patient Engagement/Experience,Functional Outcomes,X,-,Agency for Healthcare Research & Quality,2017,Measure is still in program,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N,N/A,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Preoperative Evaluation in Low-Risk Surgery Patients,N/A,N/A,N/A,322,"Percentage of stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), or cardiac magnetic resonance (CMR) performed in low-risk surgery patients 18 years or older for preoperative evaluation during the 12-month submission period.",Efficiency and Cost Reduction,Efficiency,"Appropriate Use of Healthcare ",X,X,American College of Cardiology Foundation,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Routine Testing After Percutaneous Coronary Intervention (PCI),N/A,N/A,N/A,323,"Percentage of all stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), and cardiovascular magnetic resonance (CMR) performed in patients aged 18 years and older routinely after percutaneous coronary intervention (PCI), with reference to timing of test after PCI and symptom status.",Efficiency and Cost Reduction,Efficiency,"Appropriate Use of Healthcare ",X,X,American College of Cardiology Foundation,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",N/A,N/A,N/A,324,"Percentage of all stress single-photon emission computed tomography (SPECT) myocardial perfusion imaging (MPI), stress echocardiogram (ECHO), cardiac computed tomography angiography (CCTA), and cardiovascular magnetic resonance (CMR) performed in asymptomatic, low coronary heart disease (CHD) risk patients 18 years and older for initial detection and risk assessment.",Efficiency and Cost Reduction,Efficiency,"Appropriate Use of Healthcare ",X,X,American College of Cardiology Foundation,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Major Depressive Disorder (MDD): Coordination of Care of Patients with Specific Comorbid Conditions,N/A,N/A,N/A,325,"Percentage of medical records of patients aged 18 years and older with a diagnosis of major depressive disorder (MDD) and a specific diagnosed comorbid condition (diabetes, coronary artery disease, ischemic stroke, intracranial hemorrhage, chronic kidney disease [stages 4 or 5], End Stage Renal Disease [ESRD] or congestive heart failure) being treated by another clinician with communication to the clinician treating the comorbid condition.",Communication and Care Coordination,Process,"Prevention, Treatment, and Management of Mental Health",X,-,American Psychiatric Association,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy,N/A,N/A,1525,326,Percentage of patients aged 18 years and older with atrial fibrillation (AF) or atrial flutter who were prescribed an FDA-approved oral anticoagulant drug for the prevention of thromboembolism during the measurement period.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Heart Association,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,Y (2019),,,,,Y (2019),First,2019,Annual analysis of ICD10 codes indicated greater than 10 percent impacted,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediatric Kidney Disease: Adequacy of Volume Management,N/A,N/A,N/A,327,Percentage of calendar months within a 12-month period during which patients aged 17 years and younger with a diagnosis of End Stage Renal Disease (ESRD) undergoing maintenance hemodialysis in an outpatient dialysis facility have an assessment of the adequacy of volume management from a nephrologist,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,Renal Physicians Association,2017,2019,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," For denominator criteria, encounter codes with Telehealth modifiers GQ, GT, 95 and POS 02 would not be considered encounter (eligible cases).",,N,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediatric Kidney Disease: ESRD Patients Receiving Dialysis: Hemoglobin Level < 10 g/dL,N/A,N/A,1667,328,Percentage of calendar months within a 12-month period during which patients aged 17 years and younger with a diagnosis of End Stage Renal Disease (ESRD) receiving hemodialysis or peritoneal dialysis have a hemoglobin level < 10 g/dL.,Effective Clinical Care," Intermediate Outcome",Management of Chronic Conditions,X,-,Renal Physicians Association,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Kidney Disease: Catheter Use at Initiation of Hemodialysis,N/A,N/A,N/A,329,"Percentage of patients aged 18 years and older with a diagnosis of End Stage Renal Disease (ESRD) who initiate maintenance hemodialysis during the measurement period, whose mode of vascular access is a catheter at the time maintenance hemodialysis is initiated.",Effective Clinical Care,Outcome,"Appropriate Use of Healthcare ",X,-,Renal Physicians Association,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Kidney Disease: Catheter Use for Greater Than or Equal to 90 Days,N/A,N/A,N/A,330,Percentage of patients aged 18 years and older with a diagnosis of End Stage Renal Disease (ESRD) receiving maintenance hemodialysis for greater than or equal to 90 days whose mode of vascular access is a catheter.,Patient Safety,Outcome,"Appropriate Use of Healthcare ",X,X,Renal Physicians Association,2017,2020,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2018
2019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Sinusitis: Antibiotic Prescribed for Acute Viral Sinusitis (Overuse),N/A,N/A,N/A,331,"Percentage of patients, aged 18 years and older, with a diagnosis of acute viral sinusitis who were prescribed an antibiotic within 10 days after onset of symptoms.",Efficiency and Cost Reduction,Process,"Appropriate Use of Healthcare ",X,X,American Academy of Otolaryngology – Head and Neck Surgery Foundation,2017,Measure is still in program,-,-,-,-,-,X,"X
2017
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,2018,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,"N/A",-,Y,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin With or Without Clavulanate Prescribed for Patients with Acute Bacterial Sinusitis (Appropriate Use),N/A,N/A,N/A,332,"Percentage of patients aged 18 years and older with a diagnosis of acute bacterial sinusitis that were prescribed amoxicillin, with or without clavulanate, as a first line antibiotic at the time of diagnosis.",Efficiency and Cost Reduction,Process,"Appropriate Use of Healthcare ",X,X,American Academy of Otolaryngology – Head and Neck Surgery Foundation,2017,Measure is still in program,-,-,-,-,-,X,"X
2017
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,2018,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Sinusitis: Computerized Tomography (CT) for Acute Sinusitis (Overuse),N/A,N/A,N/A,333,"Percentage of patients aged 18 years and older, with a diagnosis of acute sinusitis who had a computerized tomography (CT) scan of the paranasal sinuses ordered at the time of diagnosis or received within 28 days after date of diagnosis.",Efficiency and Cost Reduction,Efficiency,"Appropriate Use of Healthcare ",X,X,American Academy of Otolaryngology – Head and Neck Surgery Foundation,2017,2021,-,-,-,-,-,X,2017,-,-,-,-,-,-,-,-,-,-,"2018
2019
2020",-,"2017
2018
2019
2020",-,-,-,-,2018,"2017
2018
2019
2020",-,-,-,-,-,-,-,-,-,-,"2017
2018
2019
2020",-,-,-,-,-,-,-,-,-,-,-,-,-,"2019
2020
",-,-,"N/A",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),N/A,N/A,N/A,334,Percentage of patients aged 18 years and older with a diagnosis of chronic sinusitis who had more than one CT scan of the paranasal sinuses ordered or received within 90 days after date of diagnosis,Efficiency and Cost Reduction,Efficiency,"Appropriate Use of Healthcare ",X,X,American Academy of Otolaryngology – Head and Neck Surgery,2017,2019,-,-,-,-,-,X,2017,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,2018,"2017
2018",-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," For denominator criteria, encounter codes with Telehealth modifiers GQ, GT, 95 and POS 02 would not be considered encounter (eligible cases).",-,Y,N,1,N/A,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternity Care: Elective Delivery (Without Medical Indication) at < 39 Weeks (Overuse),N/A,N/A,N/A,335,"Percentage of patients, regardless of age, who gave birth during a 12-month period, delivered a live singleton at < 39 weeks of gestation, and had elective deliveries (without medical indication) by cesarean birth or induction of labor.",Patient Safety,Outcome,"Appropriate Use of Healthcare ",X,X,Centers for Medicare & Medicaid Services,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,-,"X
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,Y,N,1,N/A,N/A,N,,,,,,,,,,N,N,N,N,N,Y (2022),2022,Measure analytics updated to be inverse.,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
