QCDR Name,Measure ID,Measure Title,Measure Description,NQF Number  (if applicable),NQS Domain,High Priority,Measure Type,Inverse Measure,Proportional Measure,Continuous Variable Measure,Ratio Measure,Number of performance rates to be submitted,Overall Algorithm,Is the Measure Risk-Adjusted,Primary Steward,First Performance Year,Performance Rate Description,Submission Pathway
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI18,Coronary Artery Bypass Graft (CABG): Prolonged Intubation – Inverse Measure,Percentage of patients aged 18 years and older undergoing isolated CABG surgery who require postoperative intubation > 24 hours,N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2016,This measure has a single performance rate which describes the percentage of CABG patients who experience prolonged intubation,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI48,Patient-Reported Experience with Anesthesia,"Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care and who reported a positive experience. 

This measure will consist of two performance rates:

AQI48a: Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care 
AQI48b: Percentage of patients, aged 18 and older, who completed a survey on their patient experience and satisfaction with anesthesia care who report a positive experience with anesthesia care

NOTE: The measure requires that a valid survey, as defined in the numerator of AQI48a, be sent to patients between discharge from the facility and within 30 days of facility discharge. To report AQI48b, a minimum number of 20 surveys with the mandatory question completed must be reported. ** In order to be scored on this measure, clinicians must report BOTH AQI48a AND AQI48b.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,2,2nd Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2017,"This measure has two performance rates. 
Rate 1: The first performance rate, AQI48a, describes the percentage of surgical patients who receive a survey of their experience with anesthesia care. 
Rate 2: The second performance rate, AQI48b, describes the percentage of surgical patients who report a positive experience with anesthesia care.",Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI49,Adherence to Blood Conservation Guidelines for Cardiac Operations using Cardiopulmonary Bypass (CPB) – Composite,"Percentage of patients, aged 18 years and older, who undergo a cardiac operation using cardiopulmonary bypass for whom selected blood conservation strategies were used.",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2017,This measure has a single performance rate that describes the percentage of patients for whom blood conservation strategies are used.,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI55,Team-Based Implementation of a Care-and-Communication Bundle for ICU Patients,"Percentage of patients, regardless of age, who are admitted to an intensive care unit (ICU) for ≥48 hours and who received critical care services who have documentation by managing physician of 1) attempted or actual identification of a surrogate decision maker, 2) an advance directive, and 3) the patient’s preference for cardiopulmonary resuscitation, within 48 hours of ICU admission",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018,This measure has a single performance rate which describes the percentage of ICU patients whose end-of-life preferences are addressed,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI56,Use of Neuraxial Techniques and/or Peripheral Nerve Blocks for Total Knee Arthroplasty (TKA),"Percentage of patients, regardless of age, that undergo primary total knee arthroplasty for whom neuraxial anesthesia and/or a peripheral nerve block is performed",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018,This measure consists of a single performance rate that describes the percentage of total knee arthroplasty patients for whom neuraxial techniques are used.,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI57,Safe Opioid Prescribing Practices,"Percentage of patients, aged 18 years and older, prescribed opioid medications for longer than six weeks’ duration for whom ALL of the following opioid prescribing best practices are followed:

1. Chemical dependency screening (includes laboratory testing and/or questionnaire) within the immediate 6 months prior to the encounter
2. Co-prescription of naloxone or documented discussion regarding offer of Naloxone co-prescription, if prescription is ≥50 MME/day
3. Non co-prescription of benzodiazepine medications by prescribing pain physician and documentation of a discussion with patient regarding risks of concomitant use of benzodiazepine and opioid medications.",N/A,Effective Clinical Care,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2018,This measure consists of a single performance rate that describes the percentage of patients prescribed long-term opioids with recommended safe opioid prescribing practices.,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI62,Obstructive Sleep Apnea: Patient Education,"Percentage of patients aged 18 years or older, who undergo an elective procedure requiring anesthesia services who are screened for obstructive sleep apnea (OSA) AND, if positive, have documentation that they received education regarding their risk for OSA prior to PACU discharge",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019,This measure has a single performance rate that describes the percentage of surgical patients who are screened for OSA and educated on their condition.,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI65,Avoidance of Cerebral Hyperthermia for Procedures Involving Cardiopulmonary Bypass,"Percentage of patients, aged 18 years and older, undergoing a procedure using cardiopulmonary bypass who did not have a documented intraoperative pulmonary artery, oropharyngeal, or nasopharyngeal temperature ≥37.0 degrees Celsius during the period of cardiopulmonary bypass",N/A,Patient Safety,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019,This measure consists of a single performance rate that describe the percentage of patients who avoid cerebral hyperthermia during cardiopulmonary bypass.,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI67,Consultation for Frail Patients,"Percentage of patients aged 70 years or older, who undergo an inpatient procedure requiring anesthesia services and have a positive frailty screening result who receive a multidisciplinary consult or care during the hospital encounter",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2019,This measure has a single performance rate that describes the percentage of frail surgical patients who receive a multidisciplinary consult.,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI68,Obstructive Sleep Apnea: Mitigation Strategies,"Percentage of patients aged 18 years or older, who undergo an elective procedure requiring anesthesia services who are screened for obstructive sleep apnea (OSA) AND, if positive, for whom two or more selected mitigation strategies was used prior to PACU discharge",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2020,This measure consists of a single performance rate that describes the percentage of surgical patients who are screened for obstructive sleep apnea and for whom their anesthesia care is modified based on the results.,Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI69,Intraoperative Antibiotic Redosing,"Percentage of patients, aged 18 years and older, who received preoperative antibiotic prophylaxis within 60 minutes prior to incision (if fluoroquinolone or vancomycin, two hours) and undergo a procedure greater than two hours duration who received intraoperative antibiotic redosing at a maximum interval of two half-lives of the selected prophylactic antibiotic.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2021,"This measure consists of a single performance rate that describes the percentage of patients, aged 18 years and older, who received preoperative antibiotic prophylaxis within 60 minutes prior to incision and undergo a procedure greater than two hours duration who received intraoperative antibiotic redosing at a maximum interval of two half-lives of the selected prophylactic antibiotic. A provider may also receive credit for this measure if the patient received an intraoperative redosing of prophylactic antibiotics according to the facility's antibiotic steward program.",Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI70,Prevention of Arterial Line-Related Bloodstream Infections,"Percentage of patients, regardless of age, who undergo placement of a peripheral intra-arterial catheter for whom the arterial line was inserted with all indicated elements of sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed.

This measure will consist of two performance rates: 

a.	 Percentage of patients, regardless of age, who undergo placement of a peripheral intra-arterial line in the brachial, radial, posterior tibial or dorsalis pedis artery for whom the arterial line was inserted with all indicated elements of sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed

b.	 Percentage of patients, regardless of age, who undergo placement of a peripheral intra-arterial line in the femoral or axillary artery for whom the arterial line was inserted with all indicated elements of maximal sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound technique is followed

The overall measure score will be calculated as an average of the performance rates of part A and part B.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2021,"Rate 1: The overall measure score will be calculated as an average of the performance rates of part A and part B. (Rates 2 & 3) 
Rate 2: Percentage of patients, regardless of age, who undergo placement of a peripheral intra-arterial line in the brachial, radial, posterior tibial or dorsalis pedis artery for whom the arterial line was inserted with all indicated elements of sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound techniques followed
Rate 3: Percentage of patients, regardless of age, who undergo placement of a peripheral intra-arterial line in the femoral or axillary artery for whom the arterial line was inserted with all indicated elements of maximal sterile barrier technique, hand hygiene, skin preparation and, if ultrasound is used, sterile ultrasound technique is followed",Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI71,Ambulatory Glucose Management,"Percentage of diabetic patients, aged 18 years and older, who receive an office-based or ambulatory surgery whose blood glucose level is appropriately managed throughout the perioperative period.

The measure consists of four performance rates:

a.	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery whose blood glucose level is tested prior to the start of anesthesia

b.	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level >180 mg/dL (10.0 mmol/L) who received insulin prior to anesthesia end time

c.	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who received insulin perioperatively and who received a follow-up blood glucose level check following the administration of insulin and prior to discharge

d.	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level >180 mg/dL (10.0 mmol/L) who received education on managing their glucose in the postoperative period prior to discharge",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2021,"Rate 1: The overall measure score will be calculated as an average of the performance rates of parts A, B, C and D. (Rates 2, 3, 4 & 5) 
Rate 2: 	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery whose blood glucose level is tested prior to the start of anesthesia
Rate 3: 	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level >180 mg/dL (10.0 mmol/L) who received insulin prior to anesthesia end time
Rate 4: 	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who received insulin perioperatively and who received a follow-up blood glucose level check following the administration of insulin and prior to discharge
Rate 5: 	Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level >180 mg/dL (10.0 mmol/L) who received education on managing their glucose in the postoperative period prior to discharge",Traditional MIPS
Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),AQI72,Perioperative Anemia Management,"Percentage of patients, aged 18 years and older, undergoing elective total joint arthroplasty who were screened for anemia preoperatively AND, if positive, have documentation that one or more of the following management strategies were used prior to PACU discharge.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),2021,"This measure consists of a single performance rate that describes the percentage of patients tested preoperatively for anemia who, when indicated, received appropriate preoperative and intraoperative management strategies.",Traditional MIPS
American Urological Association Quality (AQUA) Registry,AQUA14,Stones: Inappropriate Repeat Shock Wave Lithotripsy (SWL) Within 6 Months of Initial Treatment,Percentage of patients who underwent inappropriate repeat SWL within 6 months of initial procedure,N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017,N/A,Traditional MIPS
American Urological Association Quality (AQUA) Registry,AQUA15,Stones: Urinalysis Performed Before Surgical Stone Procedures,Percentage of patients with a documented urinalysis 30 days before surgical stone procedures,N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017,N/A,Traditional MIPS
American Urological Association Quality (AQUA) Registry,AQUA16,Non-Muscle Invasive Bladder Cancer: Repeat Transurethral Resection of Bladder Tumor (TURBT) for T1 disease,"Percentage of patients with T1 disease, that had a second TURBT within 6 weeks of the initial TURBT",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017,N/A,Traditional MIPS
American Urological Association Quality (AQUA) Registry,AQUA18,Non-Muscle Invasive Bladder Cancer: Early Surveillance Cystoscopy for Non-Muscle Invasive Bladder Cancer,Percentage of patients who receive surveillance cystoscopy within 4 months of TURBT for bladder cancer,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017,N/A,Traditional MIPS
American Urological Association Quality (AQUA) Registry,AQUA26,Benign Prostate Hyperplasia (BPH): Inappropriate Lab & Imaging Services for Patients with BPH,"Percentage of patients with new diagnosis of BPH who had a creatinine lab order placed or had a CT abdomen, MRI abdomen, ultrasound abdomen ordered or performed.",N/A,Efficiency and Cost Reduction,Yes,Process,Yes,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2018,N/A,Traditional MIPS
American Urological Association Quality (AQUA) Registry,AQUA8,Hospital admissions/complications within 30 days of TRUS Biopsy,"Percentage of patients who had TRUS biopsy performed who had ≥24h after the biopsy): infection, hematuria, new antibiotic Rx after biopsy, or inpatient consultation within 30 days",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,American Urological Association Quality (AQUA) Registry,2017,N/A,Traditional MIPS
ASPS TOPS-QCDR,ASPS10,Patient Satisfaction with Information Provided during Breast Reconstruction,"Percentage of patients aged 18 years and older who had breast reconstruction who reported a score of 65 or higher on the BREAST-Q Satisfaction with Information scale, within 120 days of the procedure. 

This measure is reported as three rates stratified by procedure:
•Reporting Criteria 1: Implant Breast Reconstruction Procedures 
•Reporting Criteria 2: Autologous Breast Reconstruction Procedures
•Total Rate: All breast reconstruction Procedures",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,3,3rd Performance Rate,No,ASPS TOPS-QCDR,2018,"Rate 1: Implant-based breast reconstruction, 
Rate 2: Autologous breast reconstruction, 
Rate 3: All breast reconstruction",Traditional MIPS
"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",ASPS16,Airway Assessment for patients undergoing Rhinoplasty,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure for whom the nasal airway was assessed with physical examination via anterior rhinoscopy and/or speculum examination (lighted or not) and status of the septum, turbinates, and valves was documented.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",2019,N/A,Traditional MIPS
"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",ASPS17,Patient Satisfaction with Rhinoplasty Procedure,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure who demonstrated improvement* in functional and/or aesthetic satisfaction using a validated patient satisfaction tool (such as SCHNOS, NOSE, SNOT, RHINO) within a year following their procedure. 
*pre-test and post-test scores must be documented in the patient record",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",2019,N/A,Traditional MIPS
"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",ASPS18,Shared-decision making for post-operative management of discomfort following Rhinoplasty,"Percentage of patients aged 15 years and older who had a rhinoplasty procedure who had documentation of a pre-operative shared-decision making strategy for multi-modal post-operative management of discomfort.
Definitions: Documentation of discussion of at least two mechanisms of pain management from the following terms or phrases (one term or phrase from each list) will meet the measure:
List 1) Non-opioid analgesics: Non-narcotic/Non-opioid, Acetaminophen/Tylenol, Cox-II inhibitor (Celecoxib), Local/Marcaine/Block, Anxiolytic, Tramadol, NSAID/ibuprofen

List 2) Non-systemic: Ice/Cooling, Elevation, Rest, Mindfulness, Meditation",N/A,Patient Safety,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,"American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry, ASPS TOPS-QCDR",2019,N/A,Traditional MIPS
ASPS TOPS-QCDR,ASPS22,Coordination of Care for Anticoagulated Patients Undergoing Reconstruction After Skin Cancer Resection,"Percentage of patients aged 18 and older on prescribed anticoagulation medication who underwent reconstruction after skin cancer resection (in any setting) and preoperative modification* to their anticoagulant(s) regimen, who had documentation of coordinated care** prior to their procedure.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,ASPS TOPS-QCDR,2020,N/A,Traditional MIPS
ASPS TOPS-QCDR,ASPS24,Visits to the ER or Urgent Care Following Reconstruction After Skin Cancer Resection,"Part 1: Percentage of patients aged 18 and older who underwent reconstruction after skin cancer resection who were asked* within 30 days of their procedure whether they visited the ER or Urgent Care within 7 days of their procedure, for a reason related to the reconstruction after skin cancer resection surgery.

Part 2: Percentage of patients, aged 18 and older who underwent reconstruction after skin cancer resection and were asked within 30 days of the procedure about visiting the ER, who visited the ER or Urgent Care within 7 days of their procedure for a reason related to the reconstruction after skin cancer resection surgery. (only Part 2 is intended to be reported for accountability, but Part 1 must be completed)",N/A,Efficiency and Cost Reduction,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,ASPS TOPS-QCDR,2020,N/A,Traditional MIPS
ASPS TOPS-QCDR,ASPS26,Patient Satisfaction with Information Prior to Facial Reconstruction After Skin Cancer Resection Procedures,Percentage of patients aged 18 and older who underwent facial reconstruction after skin cancer resection who responded to the (6 question) Face-Q Satisfaction with Information: Appearance Module within 60 days of the procedure and scored 15 (52%) or higher or if scored lower than 15 (52%) there is documentation of a provider call to the patient or follow-up visit within 30 days of completion of the tool,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,ASPS TOPS-QCDR,2020,N/A,Traditional MIPS
"MohsAIQ, AAD’s DataDerm™, ASPS TOPS-QCDR",ASPS27,Avoidance of Post-operative Systemic Antibiotics for Office-based Closures and Reconstruction After Skin Cancer Procedures,"Percentage of procedures in patients aged 18 and older with a diagnosis of skin cancer who underwent intermediate layer or complex linear closure or reconstruction after skin cancer resection in the office-based* setting who were prescribed post-operative systemic antibiotics to be taken immediately following reconstruction surgery (inverse measure)

This measure is stratified by intermediate layer or complex linear closure or reconstructive procedures.",N/A,Effective Clinical Care,Yes,Process,Yes,Yes,No,No,3,3rd Performance Rate,No,"MohsAIQ, AAD’s DataDerm™, ASPS TOPS-QCDR",2021,"Rate 1: Strata 1: Intermediate layer or complex linear closures after skin cancer resection

Rate 2: Strata 2: Reconstruction after skin cancer resection 

Rate 3: Strata 3: FOR REPORTING
Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates",Traditional MIPS
"AAD’s DataDerm™, ASPS TOPS-QCDR, MohsAIQ",ASPS28,Continuation of Anticoagulation Therapy in the Office-based Setting for Closure and Reconstruction After Skin Cancer Resection Procedures,"Percentage of procedures in patients, aged 18 and older with a diagnosis of skin cancer, on prescribed anticoagulation therapy, who had intermediate layer and/or complex linear closures OR reconstruction after skin cancer resection performed in the office-based setting where anticoagulant therapy was continued prior to surgery.

This measure is stratified by intermediate layer or complex linear closures AND reconstructive procedures.",N/A,Patient Safety,Yes,Process,No,Yes,No,No,3,3rd Performance Rate,No,"AAD’s DataDerm™, ASPS TOPS-QCDR, MohsAIQ",2021,"Rate 1: Strata 1: Intermediate layer or complex linear closures after skin cancer resection

Rate 2: Strata 2: Reconstruction after skin cancer resection 

Rate 3: Strata 3: FOR REPORTING
Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates",Traditional MIPS
"AAD’s DataDerm™, ASPS TOPS-QCDR, MohsAIQ",ASPS29,Avoidance of Opioid Prescriptions for Closure and Reconstruction After Skin Cancer Resection,"Percentage of procedures in patients, aged 18 and older with a diagnosis of skin cancer, who had intermediate layer and/or complex linear closures OR reconstruction after skin cancer resection where opioid/narcotic therapy* was prescribed as first line therapy (as defined by a prescription in anticipation of or at time of surgery) for post-operative pain management by the reconstructing surgeon. (Inverse measure)",N/A,Patient Safety,Yes,Process,Yes,Yes,No,No,3,3rd Performance Rate,No,"AAD’s DataDerm™, ASPS TOPS-QCDR, MohsAIQ",2021,"Rate 1: Strata 1: Intermediate layer or complex linear closures after skin cancer resection

Rate 2: Strata 2: Reconstruction after skin cancer resection 

Rate 3: Strata 3: FOR REPORTING
Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates",Traditional MIPS
ASPS TOPS-QCDR,ASPS5,Breast Reconstruction: Return to OR,Percentage of female patients aged 18 years and older who had breast reconstruction who have an unplanned second operation on the reconstruction site within 60 days of the primary breast reconstruction procedure.,N/A,Patient Safety,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,ASPS TOPS-QCDR,2018,N/A,Traditional MIPS
Pathologists Quality Registry,CAP22,Turnaround Time (TAT) - Biopsies,"Percentage of final pathology reports for biopsies that meet the maximum 2 business day turnaround time (TAT) requirement (Report Date – Accession Date ≤ 2 business days).
INSTRUCTIONS: This measure is to be reported each time a biopsy is performed during the performance period. It is anticipated that eligible clinicians providing the pathology services for procedures will submit this measure.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2019,N/A,Traditional MIPS
Pathologists Quality Registry,CAP28,Helicobacter pylori Status and Turnaround Time,"Percentage of stomach biopsy cases with gastritis that address the presence or absence of Helicobacter pylori 
AND
meet the maximum 2 business day turnaround time (TAT) requirement (Report Date – Accession Date ≤ 2 business days).
INSTRUCTIONS: This measure has two performance rates that contribute to the overall performance score:
1. Percent of cases in which presence or absence of Helicobacter pylori is addressed.
2. Percent of cases that meet the maximum 2 business day turnaround time.
The overall performance score submitted is a weighted average of: (Numerator 1 + Numerator 2)/(Denominator 1 + Denominator 2).",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2019,N/A,Traditional MIPS
Pathologists Quality Registry,CAP30,Urinary Bladder Biopsy Diagnostic Requirements For Appropriate Patient Management,"Percentage of urinary bladder carcinoma pathology reports that include the procedure, histologic tumor grade, histologic type, muscularis propria presence, presence/absence of lymphovascular invasion and extent of tumor invasion. 
AND 
meet the maximum 2 business day turnaround time (TAT) requirement (Report Date – Accession Date ≤ 2 business days). 

INSTRUCTIONS: This measure has two performance rates that contribute to the overall performance score:
1.	Percent of cases for which all required data elements of the urinary bladder carcinoma pathology report are included.
2.	Percent of cases that meet the maximum 2 business day turnaround time.
The overall performance score submitted is a weighted average of: 
(Performance rate 1 x 70%)+(Performance rate 2 x 30%)",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2020,N/A,Traditional MIPS
Pathologists Quality Registry,CAP32,"Prostate Cancer Gleason Pattern, Score, and Grade Group","Percentage of surgical pathology reports for biopsies or radical resections (radical prostatectomy) of primary prostate cancer that include Gleason patterns used in determining the Gleason score, total Gleason score, and grade group classification",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2020,N/A,Traditional MIPS
Pathologists Quality Registry,CAP33,"Mismatch Repair (MMR) or Microsatellite Instability (MSI) Biomarker Testing Status in Colorectal Carcinoma, Endometrial, Gastroesophageal, or Small Bowel Carcinoma","Percentage of surgical pathology reports for primary colorectal, endometrial, gastroesophageal or small bowel carcinoma, biopsy or resection, that contain impression or conclusion of or recommendation for testing of mismatch repair (MMR) by immunohistochemistry (biomarkers MLH1, MSH2, MSH6, and PMS2), or microsatellite instability (MSI) by DNA-based testing status, or both",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2021,N/A,Traditional MIPS
Pathologists Quality Registry,CAP34,Biomarker Status to Inform Clinical Management and Treatment Decisions in Patients with Non-small Cell Lung Cancer,"Percentage of non-small cell lung cancer (NSCLC) surgical pathology reports that include anaplastic lymphoma kinase (ALK), epidermal growth factor receptor (EGFR), AND tyrosine protein kinase ROS1 mutation status.",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2021,N/A,Traditional MIPS
Pathologists Quality Registry,CAP35,"Cancer Protocol and Turnaround Time for Gastrointestinal Carcinomas: Gastric, Esophageal, Colorectal and Hepatocellular Carcinomas","Percentage of all eligible pathology reports for gastric, esophageal, colorectal, and hepatocellular carcinoma specimens for which all required data elements of the gastrointestinal Cancer Protocols are recorded 
AND 
meet the maximum 4 business day turnaround time (TAT) requirement (Report Date – Accession Date ≤ 4 business days). 

INSTRUCTIONS: This measure has two performance rates that contribute to the overall performance score:
1.	Percent of cases for which required data elements for all cancer protocols are recorded.
2.	Percent of cases that meet the maximum 4 business day turnaround time.
The overall performance score submitted is a weighted average of: 
(Performance rate 1 x 70%)+(Performance rate 2 x 30%)",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2021,N/A,Traditional MIPS
Pathologists Quality Registry,CAP36,p16 Immunohistochemistry Reporting for Human Papillomavirus in Patients with Oropharyngeal Squamous Cell Carcinoma (OPSCC),Percentage of surgical pathology reports for invasive oropharyngeal squamous cell carcinoma (OPSCC) with quantitative p16 immunohistochemistry (IHC) using a ≥70% nuclear and cytoplasmic staining cutoff performed as a surrogate for HR-HPV status,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,Pathologists Quality Registry,2021,N/A,Traditional MIPS
